K,n,δ,A,up
0.01,6.2,440.0,20.0,1.0
0.01,6.2,445.0,20.0,1.0
0.01,6.2,450.0,20.0,1.0
0.01,6.2,455.0,20.0,1.0
0.01,6.2,460.0,20.0,1.0
0.01,6.2,465.0,20.0,1.0
0.01,6.2,470.0,20.0,1.0
0.01,6.2,475.0,20.0,1.0
0.01,6.2,480.0,20.0,1.0
0.01,6.2,485.0,20.0,1.0
0.01,6.2,490.0,20.0,1.0
0.01,6.2,495.0,20.0,1.0
0.01,6.2,500.0,20.0,1.0
0.01,6.2,500.0,20.0,2.0
0.01,6.4,445.0,20.0,1.0
0.01,6.4,450.0,20.0,1.0
0.01,6.4,455.0,20.0,1.0
0.01,6.4,460.0,20.0,1.0
0.01,6.4,465.0,20.0,1.0
0.01,6.4,470.0,20.0,1.0
0.01,6.4,475.0,20.0,1.0
0.01,6.4,480.0,20.0,1.0
0.01,6.4,485.0,20.0,1.0
0.01,6.4,490.0,20.0,1.0
0.01,6.4,495.0,20.0,1.0
0.01,6.4,500.0,20.0,1.0
0.01,6.6,445.0,20.0,1.0
0.01,6.6,450.0,20.0,1.0
0.01,6.6,455.0,20.0,1.0
0.01,6.6,460.0,20.0,1.0
0.01,6.6,465.0,20.0,1.0
0.01,6.6,470.0,20.0,1.0
0.01,6.6,475.0,20.0,1.0
0.01,6.6,480.0,20.0,1.0
0.01,6.6,485.0,20.0,1.0
0.01,6.6,490.0,20.0,1.0
0.01,6.6,495.0,20.0,1.0
0.01,6.6,500.0,20.0,1.0
0.01,6.8,450.0,20.0,1.0
0.01,6.8,455.0,20.0,1.0
0.01,6.8,460.0,20.0,1.0
0.01,6.8,465.0,20.0,1.0
0.01,6.8,470.0,20.0,1.0
0.01,6.8,475.0,20.0,1.0
0.01,6.8,480.0,20.0,1.0
0.01,6.8,485.0,20.0,1.0
0.01,6.8,490.0,20.0,1.0
0.01,6.8,495.0,20.0,1.0
0.01,6.8,500.0,20.0,1.0
0.01,7.0,450.0,20.0,1.0
0.01,7.0,455.0,20.0,1.0
0.01,7.0,460.0,20.0,1.0
0.01,7.0,465.0,20.0,1.0
0.01,7.0,470.0,20.0,1.0
0.01,7.0,475.0,20.0,1.0
0.01,7.0,480.0,20.0,1.0
0.01,7.0,485.0,20.0,1.0
0.01,7.0,490.0,20.0,1.0
0.01,7.0,495.0,20.0,1.0
0.01,7.0,500.0,20.0,1.0
0.06,6.2,275.0,20.0,1.0
0.06,6.2,280.0,20.0,1.0
0.06,6.2,285.0,20.0,1.0
0.06,6.2,290.0,20.0,1.0
0.06,6.2,295.0,20.0,1.0
0.06,6.2,300.0,20.0,1.0
0.06,6.2,305.0,20.0,1.0
0.06,6.2,310.0,20.0,1.0
0.06,6.2,315.0,20.0,1.0
0.06,6.2,320.0,20.0,1.0
0.06,6.2,325.0,20.0,1.0
0.06,6.2,330.0,20.0,1.0
0.06,6.2,335.0,20.0,1.0
0.06,6.2,335.0,20.0,2.0
0.06,6.2,340.0,20.0,1.0
0.06,6.2,340.0,20.0,2.0
0.06,6.2,345.0,20.0,1.0
0.06,6.2,345.0,20.0,2.0
0.06,6.2,350.0,20.0,1.0
0.06,6.2,350.0,20.0,2.0
0.06,6.2,355.0,20.0,1.0
0.06,6.2,355.0,20.0,2.0
0.06,6.2,360.0,20.0,1.0
0.06,6.2,360.0,20.0,2.0
0.06,6.2,365.0,20.0,1.0
0.06,6.2,365.0,20.0,2.0
0.06,6.2,370.0,20.0,2.0
0.06,6.2,375.0,20.0,2.0
0.06,6.2,375.0,20.0,3.0
0.06,6.2,380.0,20.0,2.0
0.06,6.2,380.0,20.0,3.0
0.06,6.2,385.0,20.0,2.0
0.06,6.2,385.0,20.0,3.0
0.06,6.2,390.0,20.0,2.0
0.06,6.2,390.0,20.0,3.0
0.06,6.2,395.0,20.0,2.0
0.06,6.2,395.0,20.0,3.0
0.06,6.2,400.0,20.0,2.0
0.06,6.2,400.0,20.0,3.0
0.06,6.2,400.0,20.0,4.0
0.06,6.2,405.0,20.0,2.0
0.06,6.2,405.0,20.0,3.0
0.06,6.2,405.0,20.0,4.0
0.06,6.2,410.0,20.0,2.0
0.06,6.2,410.0,20.0,3.0
0.06,6.2,410.0,20.0,4.0
0.06,6.2,415.0,20.0,2.0
0.06,6.2,415.0,20.0,3.0
0.06,6.2,415.0,20.0,4.0
0.06,6.2,420.0,20.0,2.0
0.06,6.2,420.0,20.0,3.0
0.06,6.2,420.0,20.0,4.0
0.06,6.2,420.0,20.0,5.0
0.06,6.2,425.0,20.0,2.0
0.06,6.2,425.0,20.0,3.0
0.06,6.2,425.0,20.0,4.0
0.06,6.2,425.0,20.0,5.0
0.06,6.2,430.0,20.0,2.0
0.06,6.2,430.0,20.0,3.0
0.06,6.2,430.0,20.0,4.0
0.06,6.2,430.0,20.0,5.0
0.06,6.2,435.0,20.0,2.0
0.06,6.2,435.0,20.0,3.0
0.06,6.2,435.0,20.0,4.0
0.06,6.2,435.0,20.0,5.0
0.06,6.2,440.0,20.0,2.0
0.06,6.2,440.0,20.0,3.0
0.06,6.2,440.0,20.0,4.0
0.06,6.2,440.0,20.0,5.0
0.06,6.2,440.0,20.0,6.0
0.06,6.2,445.0,20.0,2.0
0.06,6.2,445.0,20.0,3.0
0.06,6.2,445.0,20.0,4.0
0.06,6.2,445.0,20.0,5.0
0.06,6.2,445.0,20.0,6.0
0.06,6.2,450.0,20.0,2.0
0.06,6.2,450.0,20.0,3.0
0.06,6.2,450.0,20.0,4.0
0.06,6.2,450.0,20.0,5.0
0.06,6.2,450.0,20.0,6.0
0.06,6.2,450.0,20.0,7.0
0.06,6.2,455.0,20.0,3.0
0.06,6.2,455.0,20.0,4.0
0.06,6.2,455.0,20.0,5.0
0.06,6.2,455.0,20.0,6.0
0.06,6.2,455.0,20.0,7.0
0.06,6.2,460.0,20.0,3.0
0.06,6.2,460.0,20.0,4.0
0.06,6.2,460.0,20.0,5.0
0.06,6.2,460.0,20.0,6.0
0.06,6.2,460.0,20.0,7.0
0.06,6.2,465.0,20.0,3.0
0.06,6.2,465.0,20.0,4.0
0.06,6.2,465.0,20.0,5.0
0.06,6.2,465.0,20.0,6.0
0.06,6.2,465.0,20.0,7.0
0.06,6.2,465.0,20.0,8.0
0.06,6.2,470.0,20.0,3.0
0.06,6.2,470.0,20.0,4.0
0.06,6.2,470.0,20.0,5.0
0.06,6.2,470.0,20.0,6.0
0.06,6.2,470.0,20.0,7.0
0.06,6.2,470.0,20.0,8.0
0.06,6.2,475.0,20.0,3.0
0.06,6.2,475.0,20.0,4.0
0.06,6.2,475.0,20.0,5.0
0.06,6.2,475.0,20.0,6.0
0.06,6.2,475.0,20.0,7.0
0.06,6.2,475.0,20.0,8.0
0.06,6.2,475.0,20.0,9.0
0.06,6.2,480.0,20.0,3.0
0.06,6.2,480.0,20.0,4.0
0.06,6.2,480.0,20.0,5.0
0.06,6.2,480.0,20.0,6.0
0.06,6.2,480.0,20.0,7.0
0.06,6.2,480.0,20.0,8.0
0.06,6.2,480.0,20.0,9.0
0.06,6.2,485.0,20.0,3.0
0.06,6.2,485.0,20.0,4.0
0.06,6.2,485.0,20.0,5.0
0.06,6.2,485.0,20.0,6.0
0.06,6.2,485.0,20.0,7.0
0.06,6.2,485.0,20.0,8.0
0.06,6.2,485.0,20.0,9.0
0.06,6.2,485.0,20.0,10.0
0.06,6.2,490.0,20.0,3.0
0.06,6.2,490.0,20.0,4.0
0.06,6.2,490.0,20.0,5.0
0.06,6.2,490.0,20.0,6.0
0.06,6.2,490.0,20.0,7.0
0.06,6.2,490.0,20.0,8.0
0.06,6.2,490.0,20.0,9.0
0.06,6.2,490.0,20.0,10.0
0.06,6.2,495.0,20.0,3.0
0.06,6.2,495.0,20.0,4.0
0.06,6.2,495.0,20.0,5.0
0.06,6.2,495.0,20.0,6.0
0.06,6.2,495.0,20.0,7.0
0.06,6.2,495.0,20.0,8.0
0.06,6.2,495.0,20.0,9.0
0.06,6.2,495.0,20.0,10.0
0.06,6.2,500.0,20.0,3.0
0.06,6.2,500.0,20.0,4.0
0.06,6.2,500.0,20.0,5.0
0.06,6.2,500.0,20.0,6.0
0.06,6.2,500.0,20.0,7.0
0.06,6.2,500.0,20.0,8.0
0.06,6.2,500.0,20.0,9.0
0.06,6.2,500.0,20.0,10.0
0.06,6.4,275.0,20.0,1.0
0.06,6.4,280.0,20.0,1.0
0.06,6.4,285.0,20.0,1.0
0.06,6.4,290.0,20.0,1.0
0.06,6.4,295.0,20.0,1.0
0.06,6.4,300.0,20.0,1.0
0.06,6.4,305.0,20.0,1.0
0.06,6.4,310.0,20.0,1.0
0.06,6.4,315.0,20.0,1.0
0.06,6.4,320.0,20.0,1.0
0.06,6.4,325.0,20.0,1.0
0.06,6.4,330.0,20.0,1.0
0.06,6.4,335.0,20.0,1.0
0.06,6.4,335.0,20.0,2.0
0.06,6.4,340.0,20.0,1.0
0.06,6.4,340.0,20.0,2.0
0.06,6.4,345.0,20.0,1.0
0.06,6.4,345.0,20.0,2.0
0.06,6.4,350.0,20.0,1.0
0.06,6.4,350.0,20.0,2.0
0.06,6.4,355.0,20.0,1.0
0.06,6.4,355.0,20.0,2.0
0.06,6.4,360.0,20.0,1.0
0.06,6.4,360.0,20.0,2.0
0.06,6.4,365.0,20.0,1.0
0.06,6.4,365.0,20.0,2.0
0.06,6.4,370.0,20.0,2.0
0.06,6.4,375.0,20.0,2.0
0.06,6.4,375.0,20.0,3.0
0.06,6.4,380.0,20.0,2.0
0.06,6.4,380.0,20.0,3.0
0.06,6.4,385.0,20.0,2.0
0.06,6.4,385.0,20.0,3.0
0.06,6.4,390.0,20.0,2.0
0.06,6.4,390.0,20.0,3.0
0.06,6.4,395.0,20.0,2.0
0.06,6.4,395.0,20.0,3.0
0.06,6.4,400.0,20.0,2.0
0.06,6.4,400.0,20.0,3.0
0.06,6.4,400.0,20.0,4.0
0.06,6.4,405.0,20.0,2.0
0.06,6.4,405.0,20.0,3.0
0.06,6.4,405.0,20.0,4.0
0.06,6.4,410.0,20.0,2.0
0.06,6.4,410.0,20.0,3.0
0.06,6.4,410.0,20.0,4.0
0.06,6.4,415.0,20.0,2.0
0.06,6.4,415.0,20.0,3.0
0.06,6.4,415.0,20.0,4.0
0.06,6.4,420.0,20.0,2.0
0.06,6.4,420.0,20.0,3.0
0.06,6.4,420.0,20.0,4.0
0.06,6.4,425.0,20.0,2.0
0.06,6.4,425.0,20.0,3.0
0.06,6.4,425.0,20.0,4.0
0.06,6.4,425.0,20.0,5.0
0.06,6.4,430.0,20.0,2.0
0.06,6.4,430.0,20.0,3.0
0.06,6.4,430.0,20.0,4.0
0.06,6.4,430.0,20.0,5.0
0.06,6.4,435.0,20.0,2.0
0.06,6.4,435.0,20.0,3.0
0.06,6.4,435.0,20.0,4.0
0.06,6.4,435.0,20.0,5.0
0.06,6.4,440.0,20.0,2.0
0.06,6.4,440.0,20.0,3.0
0.06,6.4,440.0,20.0,4.0
0.06,6.4,440.0,20.0,5.0
