K,n,δ,A,up
0.01,1.4,295.0,20.0,4.0
0.01,1.4,305.0,20.0,5.0
0.01,1.4,310.0,20.0,6.0
0.01,1.4,315.0,20.0,7.0
0.01,1.4,320.0,20.0,8.0
0.01,1.4,325.0,20.0,9.0
0.01,1.4,325.0,20.0,10.0
0.01,1.4,330.0,20.0,10.0
0.01,1.6,265.0,20.0,1.0
0.01,1.6,295.0,20.0,2.0
0.01,1.6,310.0,20.0,3.0
0.01,1.6,315.0,20.0,3.0
0.01,1.6,320.0,20.0,4.0
0.01,1.6,325.0,20.0,4.0
0.01,1.6,330.0,20.0,5.0
0.01,1.6,335.0,20.0,5.0
0.01,1.6,335.0,20.0,6.0
0.01,1.6,340.0,20.0,6.0
0.01,1.6,340.0,20.0,7.0
0.01,1.6,345.0,20.0,6.0
0.01,1.6,345.0,20.0,7.0
0.01,1.6,345.0,20.0,8.0
0.01,1.6,350.0,20.0,7.0
0.01,1.6,350.0,20.0,8.0
0.01,1.6,350.0,20.0,9.0
0.01,1.6,355.0,20.0,8.0
0.01,1.6,355.0,20.0,9.0
0.01,1.6,355.0,20.0,10.0
0.01,1.6,360.0,20.0,9.0
0.01,1.6,360.0,20.0,10.0
0.01,1.6,365.0,20.0,10.0
0.01,1.8,285.0,20.0,1.0
0.01,1.8,290.0,20.0,1.0
0.01,1.8,315.0,20.0,2.0
0.01,1.8,320.0,20.0,2.0
0.01,1.8,325.0,20.0,2.0
0.01,1.8,330.0,20.0,3.0
0.01,1.8,335.0,20.0,3.0
0.01,1.8,340.0,20.0,3.0
0.01,1.8,345.0,20.0,3.0
0.01,1.8,345.0,20.0,4.0
0.01,1.8,350.0,20.0,4.0
0.01,1.8,355.0,20.0,4.0
0.01,1.8,355.0,20.0,5.0
0.01,1.8,360.0,20.0,4.0
0.01,1.8,360.0,20.0,5.0
0.01,1.8,360.0,20.0,6.0
0.01,1.8,365.0,20.0,5.0
0.01,1.8,365.0,20.0,6.0
0.01,1.8,370.0,20.0,5.0
0.01,1.8,370.0,20.0,6.0
0.01,1.8,370.0,20.0,7.0
0.01,1.8,375.0,20.0,6.0
0.01,1.8,375.0,20.0,7.0
0.01,1.8,375.0,20.0,8.0
0.01,1.8,380.0,20.0,6.0
0.01,1.8,380.0,20.0,7.0
0.01,1.8,380.0,20.0,8.0
0.01,1.8,380.0,20.0,9.0
0.01,1.8,385.0,20.0,7.0
0.01,1.8,385.0,20.0,8.0
0.01,1.8,385.0,20.0,9.0
0.01,1.8,385.0,20.0,10.0
0.01,1.8,390.0,20.0,8.0
0.01,1.8,390.0,20.0,9.0
0.01,1.8,390.0,20.0,10.0
0.01,1.8,395.0,20.0,8.0
0.01,1.8,395.0,20.0,9.0
0.01,1.8,395.0,20.0,10.0
0.01,1.8,400.0,20.0,9.0
0.01,1.8,400.0,20.0,10.0
0.01,1.8,405.0,20.0,10.0
0.01,2.0,300.0,20.0,1.0
0.01,2.0,305.0,20.0,1.0
0.01,2.0,310.0,20.0,1.0
0.01,2.0,335.0,20.0,2.0
0.01,2.0,340.0,20.0,2.0
0.01,2.0,345.0,20.0,2.0
0.01,2.0,350.0,20.0,2.0
0.01,2.0,355.0,20.0,3.0
0.01,2.0,360.0,20.0,3.0
0.01,2.0,365.0,20.0,3.0
0.01,2.0,365.0,20.0,4.0
0.01,2.0,370.0,20.0,3.0
0.01,2.0,370.0,20.0,4.0
0.01,2.0,375.0,20.0,3.0
0.01,2.0,375.0,20.0,4.0
0.01,2.0,380.0,20.0,4.0
0.01,2.0,380.0,20.0,5.0
0.01,2.0,385.0,20.0,4.0
0.01,2.0,385.0,20.0,5.0
0.01,2.0,390.0,20.0,4.0
0.01,2.0,390.0,20.0,5.0
0.01,2.0,390.0,20.0,6.0
0.01,2.0,395.0,20.0,4.0
0.01,2.0,395.0,20.0,5.0
0.01,2.0,395.0,20.0,6.0
0.01,2.0,395.0,20.0,7.0
0.01,2.0,400.0,20.0,5.0
0.01,2.0,400.0,20.0,6.0
0.01,2.0,400.0,20.0,7.0
0.01,2.0,405.0,20.0,5.0
0.01,2.0,405.0,20.0,6.0
0.01,2.0,405.0,20.0,7.0
0.01,2.0,405.0,20.0,8.0
0.01,2.0,410.0,20.0,6.0
0.01,2.0,410.0,20.0,7.0
0.01,2.0,410.0,20.0,8.0
0.01,2.0,410.0,20.0,9.0
0.01,2.0,415.0,20.0,6.0
0.01,2.0,415.0,20.0,7.0
0.01,2.0,415.0,20.0,8.0
0.01,2.0,415.0,20.0,9.0
0.01,2.0,415.0,20.0,10.0
0.01,2.0,420.0,20.0,6.0
0.01,2.0,420.0,20.0,7.0
0.01,2.0,420.0,20.0,8.0
0.01,2.0,420.0,20.0,9.0
0.01,2.0,420.0,20.0,10.0
0.01,2.0,425.0,20.0,7.0
0.01,2.0,425.0,20.0,8.0
0.01,2.0,425.0,20.0,9.0
0.01,2.0,425.0,20.0,10.0
0.01,2.0,430.0,20.0,7.0
0.01,2.0,430.0,20.0,8.0
0.01,2.0,430.0,20.0,9.0
0.01,2.0,430.0,20.0,10.0
0.01,2.0,435.0,20.0,8.0
0.01,2.0,435.0,20.0,9.0
0.01,2.0,435.0,20.0,10.0
0.01,2.0,440.0,20.0,9.0
0.01,2.0,440.0,20.0,10.0
0.01,2.0,445.0,20.0,9.0
0.01,2.0,445.0,20.0,10.0
0.01,2.0,450.0,20.0,10.0
0.06,1.6,260.0,20.0,4.0
0.06,1.6,270.0,20.0,5.0
0.06,1.6,275.0,20.0,6.0
0.06,1.6,280.0,20.0,6.0
0.06,1.6,280.0,20.0,7.0
0.06,1.6,285.0,20.0,7.0
0.06,1.6,285.0,20.0,8.0
0.06,1.6,290.0,20.0,8.0
0.06,1.6,290.0,20.0,9.0
0.06,1.6,295.0,20.0,8.0
0.06,1.6,295.0,20.0,9.0
0.06,1.6,295.0,20.0,10.0
0.06,1.6,300.0,20.0,9.0
0.06,1.6,300.0,20.0,10.0
0.06,1.8,245.0,20.0,2.0
0.06,1.8,250.0,20.0,2.0
0.06,1.8,260.0,20.0,3.0
0.06,1.8,265.0,20.0,3.0
0.06,1.8,270.0,20.0,3.0
0.06,1.8,275.0,20.0,4.0
0.06,1.8,280.0,20.0,4.0
0.06,1.8,285.0,20.0,4.0
