K,n,δ,A,up
0.01,3.2,370.0,20.0,1.0
0.01,3.2,375.0,20.0,1.0
0.01,3.2,380.0,20.0,1.0
0.01,3.2,385.0,20.0,1.0
0.01,3.2,390.0,20.0,1.0
0.01,3.2,395.0,20.0,1.0
0.01,3.2,400.0,20.0,1.0
0.01,3.2,405.0,20.0,1.0
0.01,3.2,410.0,20.0,1.0
0.01,3.2,415.0,20.0,1.0
0.01,3.2,415.0,20.0,2.0
0.01,3.2,420.0,20.0,1.0
0.01,3.2,420.0,20.0,2.0
0.01,3.2,425.0,20.0,1.0
0.01,3.2,425.0,20.0,2.0
0.01,3.2,430.0,20.0,1.0
0.01,3.2,430.0,20.0,2.0
0.01,3.2,435.0,20.0,1.0
0.01,3.2,435.0,20.0,2.0
0.01,3.2,440.0,20.0,1.0
0.01,3.2,440.0,20.0,2.0
0.01,3.2,440.0,20.0,3.0
0.01,3.2,445.0,20.0,1.0
0.01,3.2,445.0,20.0,2.0
0.01,3.2,445.0,20.0,3.0
0.01,3.2,450.0,20.0,2.0
0.01,3.2,450.0,20.0,3.0
0.01,3.2,455.0,20.0,2.0
0.01,3.2,455.0,20.0,3.0
0.01,3.2,460.0,20.0,2.0
0.01,3.2,460.0,20.0,3.0
0.01,3.2,460.0,20.0,4.0
0.01,3.2,465.0,20.0,2.0
0.01,3.2,465.0,20.0,3.0
0.01,3.2,465.0,20.0,4.0
0.01,3.2,470.0,20.0,2.0
0.01,3.2,470.0,20.0,3.0
0.01,3.2,470.0,20.0,4.0
0.01,3.2,475.0,20.0,2.0
0.01,3.2,475.0,20.0,3.0
0.01,3.2,475.0,20.0,4.0
0.01,3.2,475.0,20.0,5.0
0.01,3.2,480.0,20.0,2.0
0.01,3.2,480.0,20.0,3.0
0.01,3.2,480.0,20.0,4.0
0.01,3.2,480.0,20.0,5.0
0.01,3.2,485.0,20.0,2.0
0.01,3.2,485.0,20.0,3.0
0.01,3.2,485.0,20.0,4.0
0.01,3.2,485.0,20.0,5.0
0.01,3.2,490.0,20.0,2.0
0.01,3.2,490.0,20.0,3.0
0.01,3.2,490.0,20.0,4.0
0.01,3.2,490.0,20.0,5.0
0.01,3.2,490.0,20.0,6.0
0.01,3.2,495.0,20.0,2.0
0.01,3.2,495.0,20.0,3.0
0.01,3.2,495.0,20.0,4.0
0.01,3.2,495.0,20.0,5.0
0.01,3.2,495.0,20.0,6.0
0.01,3.2,500.0,20.0,2.0
0.01,3.2,500.0,20.0,3.0
0.01,3.2,500.0,20.0,4.0
0.01,3.2,500.0,20.0,5.0
0.01,3.2,500.0,20.0,6.0
0.01,3.2,500.0,20.0,7.0
0.01,3.4,375.0,20.0,1.0
0.01,3.4,380.0,20.0,1.0
0.01,3.4,385.0,20.0,1.0
0.01,3.4,390.0,20.0,1.0
0.01,3.4,395.0,20.0,1.0
0.01,3.4,400.0,20.0,1.0
0.01,3.4,405.0,20.0,1.0
0.01,3.4,410.0,20.0,1.0
0.01,3.4,415.0,20.0,1.0
0.01,3.4,420.0,20.0,1.0
0.01,3.4,425.0,20.0,1.0
0.01,3.4,425.0,20.0,2.0
0.01,3.4,430.0,20.0,1.0
0.01,3.4,430.0,20.0,2.0
0.01,3.4,435.0,20.0,1.0
0.01,3.4,435.0,20.0,2.0
0.01,3.4,440.0,20.0,1.0
0.01,3.4,440.0,20.0,2.0
0.01,3.4,445.0,20.0,1.0
0.01,3.4,445.0,20.0,2.0
0.01,3.4,450.0,20.0,1.0
0.01,3.4,450.0,20.0,2.0
0.01,3.4,450.0,20.0,3.0
0.01,3.4,455.0,20.0,1.0
0.01,3.4,455.0,20.0,2.0
0.01,3.4,455.0,20.0,3.0
0.01,3.4,460.0,20.0,1.0
0.01,3.4,460.0,20.0,2.0
0.01,3.4,460.0,20.0,3.0
0.01,3.4,465.0,20.0,1.0
0.01,3.4,465.0,20.0,2.0
0.01,3.4,465.0,20.0,3.0
0.01,3.4,470.0,20.0,2.0
0.01,3.4,470.0,20.0,3.0
0.01,3.4,470.0,20.0,4.0
0.01,3.4,475.0,20.0,2.0
0.01,3.4,475.0,20.0,3.0
0.01,3.4,475.0,20.0,4.0
0.01,3.4,480.0,20.0,2.0
0.01,3.4,480.0,20.0,3.0
0.01,3.4,480.0,20.0,4.0
0.01,3.4,485.0,20.0,2.0
0.01,3.4,485.0,20.0,3.0
0.01,3.4,485.0,20.0,4.0
0.01,3.4,485.0,20.0,5.0
0.01,3.4,490.0,20.0,2.0
0.01,3.4,490.0,20.0,3.0
0.01,3.4,490.0,20.0,4.0
