K,n,δ,A,up
0.01,7.2,455.0,20.0,1.0
0.01,7.2,460.0,20.0,1.0
0.01,7.2,465.0,20.0,1.0
0.01,7.2,470.0,20.0,1.0
0.01,7.2,475.0,20.0,1.0
0.01,7.2,480.0,20.0,1.0
0.01,7.2,485.0,20.0,1.0
0.01,7.2,490.0,20.0,1.0
0.01,7.2,495.0,20.0,1.0
0.01,7.2,500.0,20.0,1.0
0.01,7.4,455.0,20.0,1.0
0.01,7.4,460.0,20.0,1.0
0.01,7.4,465.0,20.0,1.0
0.01,7.4,470.0,20.0,1.0
0.01,7.4,475.0,20.0,1.0
0.01,7.4,480.0,20.0,1.0
0.01,7.4,485.0,20.0,1.0
0.01,7.4,490.0,20.0,1.0
0.01,7.4,495.0,20.0,1.0
0.01,7.4,500.0,20.0,1.0
0.01,7.6,460.0,20.0,1.0
0.01,7.6,465.0,20.0,1.0
0.01,7.6,470.0,20.0,1.0
0.01,7.6,475.0,20.0,1.0
0.01,7.6,480.0,20.0,1.0
0.01,7.6,485.0,20.0,1.0
0.01,7.6,490.0,20.0,1.0
0.01,7.6,495.0,20.0,1.0
0.01,7.6,500.0,20.0,1.0
0.01,7.8,460.0,20.0,1.0
0.01,7.8,465.0,20.0,1.0
0.01,7.8,470.0,20.0,1.0
0.01,7.8,475.0,20.0,1.0
0.01,7.8,480.0,20.0,1.0
0.01,7.8,485.0,20.0,1.0
0.01,7.8,490.0,20.0,1.0
0.01,7.8,495.0,20.0,1.0
0.01,7.8,500.0,20.0,1.0
0.01,8.0,465.0,20.0,1.0
0.01,8.0,470.0,20.0,1.0
0.01,8.0,475.0,20.0,1.0
0.01,8.0,480.0,20.0,1.0
0.01,8.0,485.0,20.0,1.0
0.01,8.0,490.0,20.0,1.0
0.01,8.0,495.0,20.0,1.0
0.01,8.0,500.0,20.0,1.0
0.06,7.2,280.0,20.0,1.0
0.06,7.2,285.0,20.0,1.0
0.06,7.2,290.0,20.0,1.0
0.06,7.2,295.0,20.0,1.0
0.06,7.2,300.0,20.0,1.0
0.06,7.2,305.0,20.0,1.0
0.06,7.2,310.0,20.0,1.0
0.06,7.2,315.0,20.0,1.0
0.06,7.2,320.0,20.0,1.0
0.06,7.2,325.0,20.0,1.0
0.06,7.2,330.0,20.0,1.0
0.06,7.2,335.0,20.0,1.0
0.06,7.2,340.0,20.0,1.0
0.06,7.2,345.0,20.0,1.0
0.06,7.2,345.0,20.0,2.0
0.06,7.2,350.0,20.0,1.0
0.06,7.2,350.0,20.0,2.0
0.06,7.2,355.0,20.0,1.0
0.06,7.2,355.0,20.0,2.0
0.06,7.2,360.0,20.0,1.0
0.06,7.2,360.0,20.0,2.0
0.06,7.2,365.0,20.0,1.0
0.06,7.2,365.0,20.0,2.0
0.06,7.2,370.0,20.0,1.0
0.06,7.2,370.0,20.0,2.0
0.06,7.2,375.0,20.0,1.0
0.06,7.2,375.0,20.0,2.0
0.06,7.2,380.0,20.0,2.0
0.06,7.2,380.0,20.0,3.0
0.06,7.2,385.0,20.0,2.0
0.06,7.2,385.0,20.0,3.0
0.06,7.2,390.0,20.0,2.0
0.06,7.2,390.0,20.0,3.0
0.06,7.2,395.0,20.0,2.0
0.06,7.2,395.0,20.0,3.0
0.06,7.2,400.0,20.0,2.0
0.06,7.2,400.0,20.0,3.0
0.06,7.2,405.0,20.0,2.0
0.06,7.2,405.0,20.0,3.0
0.06,7.2,410.0,20.0,2.0
0.06,7.2,410.0,20.0,3.0
0.06,7.2,410.0,20.0,4.0
0.06,7.2,415.0,20.0,2.0
0.06,7.2,415.0,20.0,3.0
0.06,7.2,415.0,20.0,4.0
0.06,7.2,420.0,20.0,2.0
0.06,7.2,420.0,20.0,3.0
0.06,7.2,420.0,20.0,4.0
0.06,7.2,425.0,20.0,2.0
0.06,7.2,425.0,20.0,3.0
0.06,7.2,425.0,20.0,4.0
0.06,7.2,430.0,20.0,2.0
0.06,7.2,430.0,20.0,3.0
0.06,7.2,430.0,20.0,4.0
0.06,7.2,430.0,20.0,5.0
0.06,7.2,435.0,20.0,2.0
0.06,7.2,435.0,20.0,3.0
0.06,7.2,435.0,20.0,4.0
0.06,7.2,435.0,20.0,5.0
0.06,7.2,440.0,20.0,2.0
0.06,7.2,440.0,20.0,3.0
0.06,7.2,440.0,20.0,4.0
0.06,7.2,440.0,20.0,5.0
0.06,7.2,445.0,20.0,2.0
0.06,7.2,445.0,20.0,3.0
0.06,7.2,445.0,20.0,4.0
0.06,7.2,445.0,20.0,5.0
0.06,7.2,450.0,20.0,2.0
0.06,7.2,450.0,20.0,3.0
0.06,7.2,450.0,20.0,4.0
0.06,7.2,450.0,20.0,5.0
0.06,7.2,450.0,20.0,6.0
0.06,7.2,455.0,20.0,2.0
0.06,7.2,455.0,20.0,3.0
0.06,7.2,455.0,20.0,4.0
0.06,7.2,455.0,20.0,5.0
0.06,7.2,455.0,20.0,6.0
0.06,7.2,460.0,20.0,2.0
0.06,7.2,460.0,20.0,3.0
0.06,7.2,460.0,20.0,4.0
0.06,7.2,460.0,20.0,5.0
0.06,7.2,460.0,20.0,6.0
0.06,7.2,465.0,20.0,2.0
0.06,7.2,465.0,20.0,3.0
0.06,7.2,465.0,20.0,4.0
0.06,7.2,465.0,20.0,5.0
0.06,7.2,465.0,20.0,6.0
0.06,7.2,465.0,20.0,7.0
0.06,7.2,470.0,20.0,3.0
0.06,7.2,470.0,20.0,4.0
0.06,7.2,470.0,20.0,5.0
0.06,7.2,470.0,20.0,6.0
0.06,7.2,470.0,20.0,7.0
0.06,7.2,475.0,20.0,3.0
0.06,7.2,475.0,20.0,4.0
0.06,7.2,475.0,20.0,5.0
0.06,7.2,475.0,20.0,6.0
0.06,7.2,475.0,20.0,7.0
0.06,7.2,480.0,20.0,3.0
0.06,7.2,480.0,20.0,4.0
0.06,7.2,480.0,20.0,5.0
0.06,7.2,480.0,20.0,6.0
0.06,7.2,480.0,20.0,7.0
0.06,7.2,480.0,20.0,8.0
0.06,7.2,485.0,20.0,3.0
0.06,7.2,485.0,20.0,4.0
0.06,7.2,485.0,20.0,5.0
0.06,7.2,485.0,20.0,6.0
0.06,7.2,485.0,20.0,7.0
0.06,7.2,485.0,20.0,8.0
0.06,7.2,490.0,20.0,3.0
0.06,7.2,490.0,20.0,4.0
0.06,7.2,490.0,20.0,5.0
0.06,7.2,490.0,20.0,6.0
0.06,7.2,490.0,20.0,7.0
0.06,7.2,490.0,20.0,8.0
0.06,7.2,490.0,20.0,9.0
0.06,7.2,495.0,20.0,3.0
0.06,7.2,495.0,20.0,4.0
0.06,7.2,495.0,20.0,5.0
0.06,7.2,495.0,20.0,6.0
0.06,7.2,495.0,20.0,7.0
0.06,7.2,495.0,20.0,8.0
0.06,7.2,495.0,20.0,9.0
0.06,7.2,500.0,20.0,3.0
0.06,7.2,500.0,20.0,4.0
0.06,7.2,500.0,20.0,5.0
0.06,7.2,500.0,20.0,6.0
0.06,7.2,500.0,20.0,7.0
0.06,7.2,500.0,20.0,8.0
0.06,7.2,500.0,20.0,9.0
0.06,7.2,500.0,20.0,10.0
0.06,7.4,280.0,20.0,1.0
0.06,7.4,285.0,20.0,1.0
0.06,7.4,290.0,20.0,1.0
0.06,7.4,295.0,20.0,1.0
0.06,7.4,300.0,20.0,1.0
0.06,7.4,305.0,20.0,1.0
0.06,7.4,310.0,20.0,1.0
0.06,7.4,315.0,20.0,1.0
0.06,7.4,320.0,20.0,1.0
0.06,7.4,325.0,20.0,1.0
0.06,7.4,330.0,20.0,1.0
0.06,7.4,335.0,20.0,1.0
0.06,7.4,340.0,20.0,1.0
0.06,7.4,345.0,20.0,1.0
0.06,7.4,345.0,20.0,2.0
0.06,7.4,350.0,20.0,1.0
0.06,7.4,350.0,20.0,2.0
0.06,7.4,355.0,20.0,1.0
0.06,7.4,355.0,20.0,2.0
0.06,7.4,360.0,20.0,1.0
0.06,7.4,360.0,20.0,2.0
0.06,7.4,365.0,20.0,1.0
0.06,7.4,365.0,20.0,2.0
0.06,7.4,370.0,20.0,1.0
0.06,7.4,370.0,20.0,2.0
0.06,7.4,375.0,20.0,1.0
0.06,7.4,375.0,20.0,2.0
0.06,7.4,380.0,20.0,2.0
0.06,7.4,385.0,20.0,2.0
0.06,7.4,385.0,20.0,3.0
0.06,7.4,390.0,20.0,2.0
0.06,7.4,390.0,20.0,3.0
0.06,7.4,395.0,20.0,2.0
0.06,7.4,395.0,20.0,3.0
0.06,7.4,400.0,20.0,2.0
0.06,7.4,400.0,20.0,3.0
0.06,7.4,405.0,20.0,2.0
0.06,7.4,405.0,20.0,3.0
0.06,7.4,410.0,20.0,2.0
0.06,7.4,410.0,20.0,3.0
0.06,7.4,410.0,20.0,4.0
0.06,7.4,415.0,20.0,2.0
0.06,7.4,415.0,20.0,3.0
0.06,7.4,415.0,20.0,4.0
0.06,7.4,420.0,20.0,2.0
