K,n,δ,A,up
0.06,7.6,380.0,20.0,1.0
0.11,7.4,390.0,20.0,2.0
0.11,7.6,310.0,20.0,1.0
0.16,8.0,345.0,20.0,2.0
0.21,7.2,305.0,20.0,2.0
0.21,7.4,310.0,20.0,2.0
0.21,7.8,305.0,20.0,2.0
0.21,8.0,360.0,20.0,3.0
0.26,7.2,330.0,20.0,3.0
0.26,7.4,395.0,20.0,5.0
0.26,7.8,370.0,20.0,4.0
0.26,7.8,425.0,20.0,6.0
0.31,7.6,265.0,20.0,2.0
0.31,7.8,310.0,20.0,3.0
0.31,8.0,310.0,20.0,3.0
0.31,8.0,375.0,20.0,5.0
0.36,7.4,325.0,20.0,4.0
0.36,7.4,415.0,20.0,8.0
0.36,7.6,290.0,20.0,3.0
0.36,7.8,420.0,20.0,8.0
0.36,8.0,290.0,20.0,3.0
0.36,8.0,380.0,20.0,6.0
0.41,7.2,310.0,20.0,4.0
0.41,7.2,335.0,20.0,5.0
0.41,7.4,365.0,20.0,6.0
0.41,7.4,380.0,20.0,7.0
0.41,7.6,340.0,20.0,5.0
0.41,7.8,340.0,20.0,5.0
0.41,7.8,365.0,20.0,6.0
0.41,7.8,380.0,20.0,7.0
0.41,8.0,275.0,20.0,3.0
0.41,8.0,340.0,20.0,5.0
0.46,7.2,380.0,20.0,8.0
0.46,7.6,275.0,20.0,3.0
0.46,7.8,265.0,20.0,3.0
0.46,7.8,300.0,20.0,4.0
0.46,7.8,350.0,20.0,6.0
0.46,8.0,295.0,20.0,4.0
0.46,8.0,300.0,20.0,4.0
0.46,8.0,350.0,20.0,6.0
0.46,8.0,375.0,20.0,7.0
0.51,7.4,330.0,20.0,6.0
0.51,7.4,350.0,20.0,7.0
0.51,7.6,315.0,20.0,5.0
0.51,7.6,385.0,20.0,9.0
0.51,8.0,255.0,20.0,3.0
0.56,7.2,270.0,20.0,4.0
0.56,7.4,270.0,20.0,4.0
0.56,7.4,360.0,20.0,8.0
0.56,7.6,385.0,20.0,10.0
0.56,7.8,255.0,20.0,3.0
0.56,8.0,270.0,20.0,4.0
0.56,8.0,320.0,20.0,6.0
0.56,8.0,340.0,20.0,7.0
0.56,8.0,390.0,20.0,10.0
0.61,7.6,265.0,20.0,4.0
0.61,7.6,365.0,20.0,9.0
0.61,7.8,285.0,20.0,5.0
0.61,7.8,350.0,20.0,8.0
0.61,7.8,365.0,20.0,9.0
0.61,7.8,370.0,20.0,9.0
0.61,8.0,315.0,20.0,6.0
0.66,7.6,365.0,20.0,10.0
0.66,8.0,275.0,20.0,5.0
0.71,7.6,355.0,20.0,10.0
0.71,7.8,290.0,20.0,6.0
0.71,7.8,345.0,20.0,9.0
0.71,8.0,310.0,20.0,7.0
0.76,7.6,280.0,20.0,6.0
0.76,7.6,355.0,20.0,10.0
0.76,7.8,265.0,20.0,5.0
0.76,7.8,335.0,20.0,9.0
0.76,8.0,300.0,20.0,6.0
0.76,8.0,350.0,20.0,10.0
0.81,7.6,255.0,20.0,5.0
0.81,7.8,340.0,20.0,10.0
0.81,8.0,310.0,20.0,8.0
0.86,7.2,285.0,20.0,7.0
0.86,7.6,290.0,20.0,7.0
0.86,7.6,300.0,20.0,8.0
0.86,8.0,250.0,20.0,5.0
0.91,7.4,260.0,20.0,6.0
0.91,8.0,310.0,20.0,9.0
0.96,7.4,255.0,20.0,6.0
0.96,7.6,275.0,20.0,7.0
0.96,7.8,255.0,20.0,6.0
