K,n,δ,A,up
0.06,9.2,390.0,20.0,1.0
0.06,9.6,390.0,20.0,1.0
0.11,9.4,310.0,20.0,1.0
0.11,9.4,400.0,20.0,2.0
0.11,9.8,405.0,20.0,2.0
0.11,10.0,310.0,20.0,1.0
0.11,10.0,405.0,20.0,2.0
0.11,10.0,410.0,20.0,2.0
0.16,9.2,440.0,20.0,4.0
0.16,9.8,350.0,20.0,2.0
0.21,9.4,365.0,20.0,3.0
0.21,9.4,405.0,20.0,4.0
0.21,9.8,245.0,20.0,1.0
0.21,10.0,245.0,20.0,1.0
0.21,10.0,310.0,20.0,2.0
0.26,9.4,340.0,20.0,3.0
0.26,9.4,345.0,20.0,3.0
0.26,9.4,470.0,20.0,8.0
0.26,9.6,285.0,20.0,2.0
0.26,9.6,345.0,20.0,3.0
0.26,9.8,380.0,20.0,4.0
0.26,10.0,380.0,20.0,4.0
0.26,10.0,385.0,20.0,4.0
0.26,10.0,440.0,20.0,6.0
0.31,9.2,360.0,20.0,4.0
0.31,9.2,380.0,20.0,5.0
0.31,9.2,385.0,20.0,5.0
0.31,9.4,315.0,20.0,3.0
0.31,9.4,335.0,20.0,3.0
0.31,9.4,465.0,20.0,9.0
0.31,9.6,265.0,20.0,2.0
0.31,9.8,265.0,20.0,2.0
0.31,10.0,270.0,20.0,2.0
0.31,10.0,350.0,20.0,4.0
0.31,10.0,355.0,20.0,4.0
0.36,9.2,290.0,20.0,3.0
0.36,9.2,335.0,20.0,4.0
0.36,9.4,250.0,20.0,2.0
0.36,9.4,360.0,20.0,5.0
0.36,9.8,345.0,20.0,4.0
0.36,10.0,300.0,20.0,3.0
0.36,10.0,435.0,20.0,8.0
0.41,9.2,275.0,20.0,3.0
0.41,9.4,315.0,20.0,4.0
0.41,9.6,275.0,20.0,3.0
0.41,9.6,280.0,20.0,3.0
0.41,9.6,425.0,20.0,9.0
0.41,9.8,390.0,20.0,7.0
0.41,9.8,410.0,20.0,8.0
0.46,9.2,265.0,20.0,3.0
0.46,9.2,375.0,20.0,7.0
0.46,9.4,390.0,20.0,8.0
0.46,9.6,230.0,20.0,2.0
0.46,9.6,265.0,20.0,3.0
0.46,9.6,395.0,20.0,8.0
0.46,9.6,430.0,20.0,10.0
0.46,9.8,230.0,20.0,2.0
0.46,10.0,275.0,20.0,3.0
0.46,10.0,305.0,20.0,4.0
0.51,9.2,315.0,20.0,5.0
0.51,9.2,375.0,20.0,8.0
0.51,9.6,265.0,20.0,3.0
0.51,9.6,360.0,20.0,7.0
0.51,9.8,270.0,20.0,3.0
0.51,9.8,315.0,20.0,5.0
0.51,9.8,395.0,20.0,9.0
0.51,10.0,260.0,20.0,3.0
0.51,10.0,280.0,20.0,3.0
0.51,10.0,285.0,20.0,4.0
0.51,10.0,325.0,20.0,5.0
0.51,10.0,340.0,20.0,6.0
0.56,9.2,305.0,20.0,5.0
0.56,9.2,325.0,20.0,6.0
0.56,9.4,300.0,20.0,5.0
0.56,9.4,330.0,20.0,6.0
0.56,10.0,300.0,20.0,5.0
0.61,9.2,355.0,20.0,8.0
0.61,9.2,380.0,20.0,10.0
0.61,9.4,385.0,20.0,10.0
0.61,9.6,315.0,20.0,6.0
0.61,9.8,335.0,20.0,7.0
0.61,9.8,375.0,20.0,9.0
0.61,10.0,260.0,20.0,3.0
0.61,10.0,325.0,20.0,6.0
0.61,10.0,340.0,20.0,7.0
0.66,9.2,340.0,20.0,8.0
0.66,9.2,360.0,20.0,9.0
0.66,9.2,375.0,20.0,10.0
0.66,9.4,260.0,20.0,4.0
0.66,9.4,280.0,20.0,5.0
0.66,9.4,360.0,20.0,9.0
0.66,9.6,230.0,20.0,3.0
0.66,9.6,255.0,20.0,4.0
0.66,9.6,285.0,20.0,5.0
0.66,9.8,235.0,20.0,3.0
0.66,9.8,255.0,20.0,4.0
0.66,9.8,325.0,20.0,7.0
0.66,9.8,345.0,20.0,8.0
0.66,10.0,255.0,20.0,4.0
0.66,10.0,325.0,20.0,7.0
0.66,10.0,345.0,20.0,8.0
0.71,9.2,270.0,20.0,5.0
0.71,9.2,320.0,20.0,7.0
0.71,9.4,240.0,20.0,3.0
0.71,9.4,250.0,20.0,4.0
0.71,9.4,350.0,20.0,9.0
0.71,9.4,360.0,20.0,10.0
0.71,9.6,270.0,20.0,5.0
0.71,9.6,365.0,20.0,10.0
0.71,10.0,300.0,20.0,6.0
0.71,10.0,355.0,20.0,8.0
0.71,10.0,365.0,20.0,10.0
0.76,9.2,310.0,20.0,7.0
0.76,9.2,325.0,20.0,8.0
0.76,9.4,310.0,20.0,6.0
0.76,9.4,355.0,20.0,10.0
0.76,9.6,305.0,20.0,7.0
0.76,9.6,330.0,20.0,8.0
0.76,9.8,285.0,20.0,6.0
0.76,10.0,340.0,20.0,9.0
0.76,10.0,355.0,20.0,10.0
0.76,10.0,365.0,20.0,10.0
0.81,9.2,295.0,20.0,7.0
0.81,9.2,335.0,20.0,9.0
0.81,9.4,320.0,20.0,8.0
0.81,9.4,330.0,20.0,9.0
0.81,9.6,280.0,20.0,6.0
0.81,9.6,295.0,20.0,7.0
0.81,9.6,315.0,20.0,8.0
0.81,9.8,275.0,20.0,6.0
0.81,9.8,285.0,20.0,6.0
0.81,9.8,300.0,20.0,7.0
0.81,9.8,335.0,20.0,9.0
0.81,9.8,355.0,20.0,10.0
0.81,10.0,260.0,20.0,5.0
0.81,10.0,275.0,20.0,6.0
0.81,10.0,285.0,20.0,5.0
0.81,10.0,345.0,20.0,10.0
0.86,9.2,295.0,20.0,7.0
0.86,9.4,235.0,20.0,4.0
0.86,9.4,280.0,20.0,6.0
0.86,9.6,255.0,20.0,5.0
0.86,9.6,335.0,20.0,10.0
0.86,9.8,290.0,20.0,7.0
0.86,9.8,340.0,20.0,10.0
0.86,10.0,235.0,20.0,4.0
0.91,9.2,260.0,20.0,6.0
0.91,9.4,250.0,20.0,5.0
0.91,9.4,330.0,20.0,10.0
0.91,9.8,255.0,20.0,5.0
0.91,9.8,300.0,20.0,8.0
0.91,9.8,330.0,20.0,10.0
0.91,10.0,250.0,20.0,5.0
0.91,10.0,285.0,20.0,7.0
0.96,9.2,240.0,20.0,5.0
0.96,9.2,320.0,20.0,10.0
0.96,9.4,275.0,20.0,7.0
0.96,9.6,240.0,20.0,5.0
0.96,9.6,320.0,20.0,10.0
0.96,9.6,325.0,20.0,10.0
0.96,9.8,270.0,20.0,6.0
0.96,9.8,280.0,20.0,7.0
0.96,9.8,295.0,20.0,8.0
0.96,9.8,300.0,20.0,8.0
0.96,9.8,310.0,20.0,9.0
0.96,9.8,325.0,20.0,10.0
0.96,10.0,310.0,20.0,9.0
