Binary,Integer,Number of Gates,Optimal Network
0000.0000.0110.1010,106,9,"O = NAND(I1, I9)
I1 = NAND(I2, I6)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(c, a)
I5 = NAND(a, b)
I6 = NAND(I7, I4)
I7 = NAND(d, a)"
0000.0000.0110.1011,107,10,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4, I8)
I4 = NAND(I5, d)
I5 = NAND(I6, I8)
I6 = NAND(I7, a)
I7 = NAND(b, d)
I8 = NAND(c, a)"
0000.0000.0110.1110,110,8,"O = NAND(I1, I8)
I1 = NAND(I2, I5)
I2 = NAND(c, I3)
I3 = NAND(a, I4)
I4 = NAND(a, d)
I5 = NAND(I4, I7)
I7 = NAND(a, b)"
0000.0000.0110.1111,111,7,"O = NAND(I1, I6)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4, I5)
I4 = NAND(a, d)
I5 = NAND(c, a)
I6 = NAND(a, b)"
0000.0000.0111.1110,126,9,"O = NAND(I1, I6)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I5)
I4 = NAND(a, d)
I5 = NAND(a, c)
I6 = NAND(b, I7)
I7 = NAND(I8)
I8 = NAND(a, I4)"
0000.0000.0111.1111,127,6,"O = NAND(I1, I2)
I1 = NAND(a, d)
I2 = NAND(I3)
I3 = NAND(I4, I5)
I4 = NAND(c, a)
I5 = NAND(b, a)"
0000.0000.1000.0000,128,9,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4)
I4 = NAND(I5, I6)
I5 = NAND(c)
I6 = NAND(I7)
I7 = NAND(I8, a)
I8 = NAND(b)"
0000.0000.1000.0001,129,10,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(b, a)
I4 = NAND(I5)
I5 = NAND(I6, I8)
I6 = NAND(c, I3)
I8 = NAND(I9, I11)
I9 = NAND(I3, a)"
0000.0000.1000.0010,130,9,"O = NAND(I1)
I1 = NAND(I2, I8)
I2 = NAND(I3, I7)
I3 = NAND(I4, I5)
I4 = NAND(d)
I5 = NAND(c, I4)
I7 = NAND(b, a)
I8 = NAND(I9, I5)"
0000.0000.1000.0011,131,9,"O = NAND(I1)
I1 = NAND(I2, I7)
I2 = NAND(I3, I6)
I3 = NAND(I4, I5)
I4 = NAND(d)
I5 = NAND(c)
I6 = NAND(b, a)
I7 = NAND(I8, I5)
I8 = NAND(I6, a)"
0000.0000.1000.0110,134,10,"O = NAND(I1)
I1 = NAND(I2, I9)
I2 = NAND(I3, I7)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(b, d)
I6 = NAND(c, a)
I7 = NAND(b, I5)
I9 = NAND(I10, I6)"
0000.0000.1000.0111,135,10,"O = NAND(I1, I11)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4, I11)
I4 = NAND(I5, I6)
I5 = NAND(c, a)
I6 = NAND(I7, I5)
I7 = NAND(I8, a)
I8 = NAND(b, I2)"
0000.0000.1000.1001,137,7,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(c, a)
I4 = NAND(I5, I7)
I5 = NAND(I3, a)"
0000.0000.1000.1010,138,7,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(d)
I3 = NAND(I4)
I4 = NAND(I5, a)
I5 = NAND(c, I6)
I6 = NAND(b)"
0000.0000.1000.1011,139,7,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(d, I3)
I3 = NAND(b, c)
I4 = NAND(I5)
I5 = NAND(I6, a)
I6 = NAND(c, I3)"
0000.0000.1000.1110,142,8,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(d, I3)
I3 = NAND(b, I4)
I4 = NAND(b, c)
I5 = NAND(I6)
I6 = NAND(I7, a)
I7 = NAND(c, I4)"
