Binary,Integer,Number of Gates,Optimal Network
0000.1110.1110.1000,3816,10,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4, I9)
I4 = NAND(I5, b)
I5 = NAND(a, I6)
I6 = NAND(I7, I8)
I7 = NAND(b, d)
I8 = NAND(c, b)
I9 = NAND(a, I5)"
0000.1110.1110.1001,3817,12,"O = NAND(I1, I14)
I1 = NAND(I2, I7)
I2 = NAND(c, I3)
I3 = NAND(I4, I5)
I4 = NAND(d, I5)
I5 = NAND(a, b)
I7 = NAND(I8, I10)
I8 = NAND(I5, b)
I10 = NAND(a, I11)
I11 = NAND(d, I4)"
0000.1110.1110.1010,3818,7,"O = NAND(I1, I6)
I1 = NAND(I2, b)
I2 = NAND(d, I3)
I3 = NAND(I4, I5)
I4 = NAND(c)
I5 = NAND(a, b)
I6 = NAND(a, I2)"
0000.1110.1110.1011,3819,9,"O = NAND(I1, I6)
I1 = NAND(I2, b)
I2 = NAND(d, I3)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(a, b)
I6 = NAND(a, I7)
I7 = NAND(I3, I11)"
0000.1110.1110.1110,3822,4,"O = NAND(I1, I3)
I1 = NAND(I2, b)
I2 = NAND(c, d)
I3 = NAND(a, I2)"
0000.1110.1110.1111,3823,7,"O = NAND(I1, I3)
I1 = NAND(I2, b)
I2 = NAND(c, d)
I3 = NAND(a, I4)
I4 = NAND(I5, I7)
I5 = NAND(I2)"
0000.1110.1111.0000,3824,7,"O = NAND(I1, I6)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4)
I4 = NAND(I5, b)
I5 = NAND(a, b)
I6 = NAND(a, I5)"
0000.1110.1111.0001,3825,7,"O = NAND(I1, I5)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, b)
I4 = NAND(c, d)
I5 = NAND(a, I3)"
0000.1110.1111.0010,3826,8,"O = NAND(I1, I7)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4, I6)
I4 = NAND(I5, b)
I5 = NAND(a, b)
I6 = NAND(c, a)
I7 = NAND(a, I5)"
0000.1110.1111.0011,3827,8,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(c, d)
I3 = NAND(I4, I6)
I4 = NAND(I5, b)
I5 = NAND(a, b)
I6 = NAND(a, I5)"
0000.1110.1111.0110,3830,9,"O = NAND(I1, I13)
I1 = NAND(I2, I7)
I2 = NAND(I3, I7)
I3 = NAND(I4, b)
I4 = NAND(c, I5)
I5 = NAND(I6, I7)
I6 = NAND(d, b)
I7 = NAND(a, I6)"
0000.1110.1111.0111,3831,9,"O = NAND(I1, I11)
I1 = NAND(I2, I7)
I2 = NAND(I3)
I3 = NAND(I4, b)
I4 = NAND(c, I5)
I5 = NAND(I6, I7)
I6 = NAND(d)
I7 = NAND(a, I6)"
0000.1110.1111.1000,3832,9,"O = NAND(I1)
I1 = NAND(I2, I6)
I2 = NAND(c, I3)
I3 = NAND(I4, I5)
I4 = NAND(d, b)
I5 = NAND(a, b)
I6 = NAND(I7, I9)
I7 = NAND(I5, b)"
0000.1110.1111.1001,3833,10,"O = NAND(I1, I5)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, b)
I4 = NAND(c, d)
I5 = NAND(a, I3)
I8 = NAND(a, I9)
I9 = NAND(I10, I11)"
0000.1110.1111.1010,3834,7,"O = NAND(I1, I6)
I1 = NAND(I2, b)
I2 = NAND(d, I3)
I3 = NAND(I4, I5)
I4 = NAND(c, b)
I5 = NAND(a, b)
I6 = NAND(a, I2)"
0000.1110.1111.1011,3835,7,"O = NAND(I1, I5)
I1 = NAND(I2, I8)
I2 = NAND(I3, I5)
I3 = NAND(I4, b)
I4 = NAND(c, d)
I5 = NAND(a, I3)"
0000.1110.1111.1110,3838,5,"O = NAND(I1, I3)
I1 = NAND(I2, b)
I2 = NAND(c, d)
I3 = NAND(a, I4)
I4 = NAND(b)"
0000.1110.1111.1111,3839,4,"O = NAND(I1, I3)
I1 = NAND(I2, b)
I2 = NAND(c, d)
I3 = NAND(a)"
0000.1111.1111.0001,4081,6,"O = NAND(I1, I4)
I1 = NAND(I2, b)
I2 = NAND(a, I3)
I3 = NAND(c, d)
I4 = NAND(a, I5)
I5 = NAND(b)"
0000.1111.1111.0010,4082,7,"O = NAND(I1, I5)
I1 = NAND(I2, b)
I2 = NAND(a, I3)
I3 = NAND(I4, c)
I4 = NAND(d)
I5 = NAND(a, I6)
I6 = NAND(b)"
0000.1111.1111.0110,4086,8,"O = NAND(I1, I5)
I1 = NAND(I2, b)
I2 = NAND(a, I3)
I3 = NAND(I4, d)
I4 = NAND(c, d)
I5 = NAND(a, I6)
I6 = NAND(b, I7)
I7 = NAND(c, I4)"
0000.1111.1111.0111,4087,7,"O = NAND(I1, I4)
I1 = NAND(I2, b)
I2 = NAND(a, I3)
I3 = NAND(d)
I4 = NAND(a, I5)
I5 = NAND(b, I6)
I6 = NAND(c)"
0000.1111.1111.1000,4088,7,"O = NAND(I1, I6)
I1 = NAND(I2, b)
I2 = NAND(a, I3)
I3 = NAND(I4, I5)
I4 = NAND(b, d)
I5 = NAND(b, c)
I6 = NAND(a, I2)"
0000.1111.1111.1001,4089,9,"O = NAND(I1, I5)
I1 = NAND(I2, b)
I2 = NAND(a, I3)
I3 = NAND(I4, I8)
I4 = NAND(d, I5)
I5 = NAND(a, I6)
I6 = NAND(b, I7)
I7 = NAND(d, c)
I8 = NAND(c, I7)"
0000.1111.1111.1011,4091,6,"O = NAND(I1, I3)
I1 = NAND(I2, b)
I2 = NAND(a, d)
I3 = NAND(a, I4)
I4 = NAND(b, I5)
I5 = NAND(c)"
0000.1111.1111.1110,4094,5,"O = NAND(I1, I3)
I1 = NAND(I2, b)
I2 = NAND(a, c)
I3 = NAND(a, I4)
I4 = NAND(b, d)"
0001.0110.0110.1000,5736,13,"O = NAND(I1, I24)
I1 = NAND(I2, I6)
I2 = NAND(I3, I6)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, d)
I6 = NAND(I7, I11)
I7 = NAND(d, I8)
I8 = NAND(I9, I10)
I9 = NAND(c)
I10 = NAND(b)
I11 = NAND(a, I8)"
0001.0110.0110.1001,5737,14,"O = NAND(I1, I45)
I1 = NAND(I2, I15)
I2 = NAND(b, I3)
I3 = NAND(I4, I5)
I4 = NAND(a, I5)
I5 = NAND(I6, I8)
I6 = NAND(I7, d)
I7 = NAND(c, d)
I8 = NAND(c, I7)"
0001.0110.0110.1010,5738,13,"O = NAND(I1, I15)
I1 = NAND(I2, I9)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(I6, a)
I6 = NAND(I7, I8)
I7 = NAND(c)
I8 = NAND(b)
I9 = NAND(I10, I14)
I10 = NAND(d, I6)"
0001.0110.0110.1011,5739,13,"O = NAND(I1, I16)
I1 = NAND(I2, I8)
I2 = NAND(b, I3)
I3 = NAND(I4, I6)
I4 = NAND(I5, c)
I5 = NAND(a, c)
I6 = NAND(a, I5)
I8 = NAND(I9, I15)
I9 = NAND(I3, d)"
0001.0110.0110.1110,5742,12,"O = NAND(I1, I12)
I1 = NAND(I2, I6)
I2 = NAND(I3, c)
I3 = NAND(I4, I5)
I4 = NAND(b)
I5 = NAND(a)
I6 = NAND(I7, I8)
I7 = NAND(c, d)
I8 = NAND(I3, d)"
0001.0110.0110.1111,5743,12,"O = NAND(I1, I16)
I1 = NAND(I2, I8)
I2 = NAND(I3, c)
I3 = NAND(I4, I6)
I4 = NAND(b, I5)
I5 = NAND(a, b)
I6 = NAND(a, I5)
I8 = NAND(I9, I10)
I9 = NAND(c, d)
I10 = NAND(I3, d)"
0001.0110.0111.1110,5758,12,"O = NAND(I1, I13)
I1 = NAND(I2, I9)
I2 = NAND(b, I3)
I3 = NAND(I4)
I4 = NAND(I5, I7)
I5 = NAND(d, I6)
I6 = NAND(c, d)
I7 = NAND(c, I6)
I9 = NAND(I6, I11)
I11 = NAND(b, I6)"
0001.0110.0111.1111,5759,12,"O = NAND(I1, I17)
I1 = NAND(I2, I9)
I2 = NAND(b, I3)
I3 = NAND(b, I4)
I4 = NAND(I5, I7)
I5 = NAND(d, I6)
I6 = NAND(c, d)
I7 = NAND(c, I6)
I9 = NAND(I6, I3)"
0001.0110.1000.0000,5760,13,"O = NAND(I1)
I1 = NAND(I2, I6)
I2 = NAND(b, I3)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(a)
I6 = NAND(I7, I15)
I7 = NAND(I8, I3)
I8 = NAND(a, I9)
I9 = NAND(I10, I11)
I10 = NAND(d)
I11 = NAND(c)"
0001.0110.1000.0001,5761,13,"O = NAND(I1)
I1 = NAND(I2, I10)
I2 = NAND(b, I3)
I3 = NAND(I4, I8)
I4 = NAND(d, I5)
I5 = NAND(I6, d)
I6 = NAND(I7, c)
I7 = NAND(a, c)
I8 = NAND(a, I7)
I10 = NAND(I11, I22)
I11 = NAND(I5, I3)"
0001.0110.1000.0010,5762,12,"O = NAND(I1, I10)
I1 = NAND(I2, d)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(I6, I8)
I6 = NAND(I7, c)
I7 = NAND(a, d)
I8 = NAND(b, I7)
I10 = NAND(I2, I19)"
0001.0110.1000.0011,5763,13,"O = NAND(I1)
I1 = NAND(I2, I12)
I2 = NAND(b, I3)
I3 = NAND(I4, I8)
I4 = NAND(c, I5)
I5 = NAND(I6, c)
I6 = NAND(d, I7)
I7 = NAND(a, d)
I8 = NAND(a, I5)
I12 = NAND(I13, I24)"
0001.0110.1000.0110,5766,12,"O = NAND(I1)
I1 = NAND(I2, I7)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, I6)
I6 = NAND(b)
I7 = NAND(I8, I13)
I8 = NAND(d, I9)
I9 = NAND(I10, I6)
I10 = NAND(c, I4)"
0001.0110.1000.0111,5767,12,"O = NAND(I1, I31)
I1 = NAND(I2, I14)
I2 = NAND(b, I3)
I3 = NAND(I4, I10)
I4 = NAND(I5, I6)
I5 = NAND(I6, d)
I6 = NAND(I7, c)
I7 = NAND(a, d)
I10 = NAND(I5, d)"
0001.0110.1000.1000,5768,12,"O = NAND(I1)
I1 = NAND(I2, I6)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a)
I6 = NAND(I7, I14)
I7 = NAND(I8, I3)
I8 = NAND(I9, c)
I9 = NAND(I5, b)"
0001.0110.1000.1001,5769,13,"O = NAND(I1, I16)
I1 = NAND(I2, I3)
I2 = NAND(b, d)
I3 = NAND(I4, I2)
I4 = NAND(I5, I6)
I5 = NAND(a, c)
I6 = NAND(I7, I12)
I7 = NAND(c, I8)
I8 = NAND(I9, I11)
I9 = NAND(d, I2)
I11 = NAND(b)
I12 = NAND(a, I9)"
0001.0110.1000.1010,5770,11,"O = NAND(I1, I11)
I1 = NAND(I2, I8)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, I6)
I6 = NAND(c, I7)
I7 = NAND(d, c)
I8 = NAND(I7, I10)
I10 = NAND(b, d)"
0001.0110.1000.1011,5771,12,"O = NAND(I1, I14)
I1 = NAND(I2, c)
I2 = NAND(I3, c)
I3 = NAND(I4, I8)
I4 = NAND(b, I5)
I5 = NAND(b, I6)
I6 = NAND(d, I7)
I7 = NAND(a, d)
I8 = NAND(I6, I5)"
0001.0110.1000.1110,5774,12,"O = NAND(I1)
I1 = NAND(I2, I7)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, I6)
I6 = NAND(b, d)
I7 = NAND(I8, I13)
I8 = NAND(d, I9)
I9 = NAND(I10, I6)
I10 = NAND(c, I4)"
0001.0110.1000.1111,5775,12,"O = NAND(I1, I20)
I1 = NAND(I2, I14)
I2 = NAND(b, I3)
I3 = NAND(I4, I8)
I4 = NAND(I5, d)
I5 = NAND(I6, d)
I6 = NAND(I7, c)
I7 = NAND(a, d)
I8 = NAND(I5, I6)"
0001.0110.1001.0110,5782,11,"O = NAND(I1, I17)
I1 = NAND(I2, I5)
I2 = NAND(b, I3)
I3 = NAND(c, I4)
I4 = NAND(c, d)
I5 = NAND(I4, I7)
I7 = NAND(I8, I10)
I8 = NAND(d, I4)
I10 = NAND(I11, I2)"
0001.0110.1001.0111,5783,12,"O = NAND(I1, I20)
I1 = NAND(I2, I5)
I2 = NAND(b, I3)
I3 = NAND(c, I4)
I4 = NAND(c, d)
I5 = NAND(I4, I7)
I7 = NAND(I8, I13)
I8 = NAND(d, I9)
I9 = NAND(c, I10)
I10 = NAND(I3, a)"
0001.0110.1001.1000,5784,12,"O = NAND(I1, I15)
I1 = NAND(I2, I8)
I2 = NAND(b, I3)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(I6, I7)
I6 = NAND(d)
I7 = NAND(c)
I8 = NAND(I4, I10)
I10 = NAND(b, I11)
I11 = NAND(I5, a)"
0001.0110.1001.1001,5785,11,"O = NAND(I1, I16)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, d)
I4 = NAND(b, c)
I5 = NAND(I6, c)
I6 = NAND(d, c)
I7 = NAND(I8, I6)
I8 = NAND(I9, b)
I9 = NAND(a, I2)"
0001.0110.1001.1010,5786,10,"O = NAND(I1, I12)
I1 = NAND(I2, d)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(b, c)
I5 = NAND(I6, b)
I6 = NAND(I7, d)
I7 = NAND(I4, I9)
I9 = NAND(a, I3)"
0001.0110.1001.1011,5787,12,"O = NAND(I1, I10)
I1 = NAND(I2, I7)
I2 = NAND(b, I3)
I3 = NAND(I4, I6)
I4 = NAND(I5, a)
I5 = NAND(c, a)
I6 = NAND(c, b)
I7 = NAND(I8, I9)
I8 = NAND(c, d)
I9 = NAND(b, d)
I10 = NAND(I11, I3)
I11 = NAND(d, I5)"
0001.0110.1001.1110,5790,10,"O = NAND(I1, I7)
I1 = NAND(I2, d)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(b, c)
I5 = NAND(I4, b)
I7 = NAND(I8, I9)
I8 = NAND(d)
I9 = NAND(I4, I11)"
0001.0110.1001.1111,5791,11,"O = NAND(I1, I6)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(b, d)
I6 = NAND(I7, I9)
I7 = NAND(d, I8)
I8 = NAND(c, a)
I9 = NAND(I10, I2)
I10 = NAND(I8, a)"
0001.0110.1010.1000,5800,12,"O = NAND(I1, I12)
I1 = NAND(I2, I6)
I2 = NAND(I3, I6)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, d)
I6 = NAND(I7, I8)
I7 = NAND(d, c)
I8 = NAND(a)"
0001.0110.1010.1001,5801,12,"O = NAND(I1, I16)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I10)
I4 = NAND(I5, c)
I5 = NAND(I6, I8)
I6 = NAND(I7, d)
I7 = NAND(a, d)
I8 = NAND(a, I7)
I10 = NAND(b, I5)"
0001.0110.1010.1010,5802,10,"O = NAND(I1, I9)
I1 = NAND(I2, I6)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a)
I6 = NAND(I7, I8)
I7 = NAND(d, c)
I8 = NAND(b, d)
I9 = NAND(I2, I3)"
0001.0110.1010.1011,5803,12,"O = NAND(I1, I9)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I9)
I4 = NAND(I5, I6)
I5 = NAND(a, d)
I6 = NAND(I7, I8)
I7 = NAND(c, d)
I8 = NAND(b, d)
I9 = NAND(I4, I15)"
0001.0110.1010.1100,5804,11,"O = NAND(I1, I14)
I1 = NAND(I2, I8)
I2 = NAND(I3, I8)
I3 = NAND(I4, I5)
I4 = NAND(b, d)
I5 = NAND(a, I6)
I6 = NAND(d, I7)
I7 = NAND(d, c)
I8 = NAND(I7, I10)
I10 = NAND(b, c)"
0001.0110.1010.1101,5805,12,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I9)
I4 = NAND(I5, I6)
I5 = NAND(a, d)
I6 = NAND(I7, I8)
I7 = NAND(c, d)
I8 = NAND(a)
I9 = NAND(b, d)
I10 = NAND(I11, I4)
I11 = NAND(I2)"
0001.0110.1010.1110,5806,10,"O = NAND(I1, I10)
I1 = NAND(I2, I7)
I2 = NAND(I3, d)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, I6)
I6 = NAND(b, d)
I7 = NAND(I8, I6)
I8 = NAND(d, c)"
0001.0110.1010.1111,5807,11,"O = NAND(I1, I11)
I1 = NAND(I2, I7)
I2 = NAND(I3, I5)
I3 = NAND(I4, d)
I4 = NAND(b, c)
I5 = NAND(I6, b)
I6 = NAND(d, b)
I7 = NAND(I8, I6)
I8 = NAND(I9, c)
I9 = NAND(a)"
0001.0110.1011.1100,5820,11,"O = NAND(I1, I10)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(b, I6)
I6 = NAND(I7, I8)
I7 = NAND(d)
I8 = NAND(I7, a)
I10 = NAND(I11, I5)"
0001.0110.1011.1101,5821,11,"O = NAND(I1, I7)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(I6, a)
I6 = NAND(d, a)
I7 = NAND(I8, I11)
I8 = NAND(I9, I2)
I9 = NAND(b, d)"
0001.0110.1011.1110,5822,10,"O = NAND(I1, I6)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(b, d)
I6 = NAND(I7, I8)
I7 = NAND(d)
I8 = NAND(I9, I2)
I9 = NAND(a)"
0001.0110.1011.1111,5823,10,"O = NAND(I1, I17)
I1 = NAND(I2, I9)
I2 = NAND(b, I3)
I3 = NAND(b, I4)
I4 = NAND(I5, I7)
I5 = NAND(c, I6)
I6 = NAND(c, d)
I7 = NAND(d, I6)
I9 = NAND(I6, I3)"
0001.0110.1110.1000,5864,12,"O = NAND(I1, I25)
I1 = NAND(I2, I17)
I2 = NAND(I3, I6)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(I6, I7)
I6 = NAND(I7, I8)
I7 = NAND(d, b)
I8 = NAND(I9, I4)
I9 = NAND(c, d)"
0001.0110.1110.1001,5865,12,"O = NAND(I1, I33)
I1 = NAND(I2, I17)
I2 = NAND(I3, I6)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(I6, I7)
I6 = NAND(I7, I8)
I7 = NAND(d, b)
I8 = NAND(I9, I4)
I9 = NAND(c, d)"
0001.0110.1110.1010,5866,10,"O = NAND(I1, I12)
I1 = NAND(I2, I6)
I2 = NAND(I3, I6)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a)
I6 = NAND(I7, I8)
I7 = NAND(d, b)
I8 = NAND(c, d)"
0001.0110.1110.1011,5867,12,"O = NAND(I1, I12)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I12)
I4 = NAND(I5, I6)
I5 = NAND(a, I6)
I6 = NAND(I7, I8)
I7 = NAND(c, d)
I8 = NAND(b, d)"
0001.0110.1110.1110,5870,10,"O = NAND(I1, I13)
I1 = NAND(I2, I7)
I2 = NAND(I3, I7)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a, I6)
I6 = NAND(d, b)
I7 = NAND(I6, I9)
I9 = NAND(c, d)"
0001.0110.1110.1111,5871,11,"O = NAND(I1, I10)
I1 = NAND(I2, I7)
I2 = NAND(I3, I6)
I3 = NAND(I4, I5)
I4 = NAND(b, c)
I5 = NAND(a)
I6 = NAND(a, b)
I7 = NAND(I8, I9)
I8 = NAND(d, c)
I9 = NAND(b, d)
I10 = NAND(I8, I3)"
0001.0110.1111.1110,5886,9,"O = NAND(I1, I6)
I1 = NAND(I2, I3)
I2 = NAND(b, c)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(b, d)
I6 = NAND(I7, I4)
I7 = NAND(I8, I2)
I8 = NAND(a)"
0001.0110.1111.1111,5887,10,"O = NAND(I1, I17)
I1 = NAND(I2, I9)
I2 = NAND(b, I3)
I3 = NAND(b, I4)
I4 = NAND(I5, I7)
I5 = NAND(d, I6)
I6 = NAND(c, d)
I7 = NAND(c, I6)
I9 = NAND(I6, I3)"
0001.0111.0111.1110,6014,12,"O = NAND(I1, I14)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(b, I6)
I6 = NAND(I7, I9)
I7 = NAND(d, I2)
I9 = NAND(I10, I4)
I10 = NAND(I11, I2)
I11 = NAND(c)"
0001.0111.0111.1111,6015,11,"O = NAND(I1, I8)
I1 = NAND(c, I2)
I2 = NAND(I3, I7)
I3 = NAND(I4)
I4 = NAND(I5, I6)
I5 = NAND(d)
I6 = NAND(b)
I7 = NAND(a)
I8 = NAND(I9, I4)
I9 = NAND(I10, I7)
I10 = NAND(b, d)"
0001.0111.1000.0000,6016,11,"O = NAND(I1, I16)
I1 = NAND(I2, I11)
I2 = NAND(I3, I6)
I3 = NAND(I4, d)
I4 = NAND(a, I5)
I5 = NAND(a, b)
I6 = NAND(I7, I9)
I7 = NAND(d, I5)
I9 = NAND(c, I5)"
0001.0111.1000.0001,6017,11,"O = NAND(I1, I12)
I1 = NAND(I2, I8)
I2 = NAND(a, I3)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(a, b)
I6 = NAND(c, I5)
I8 = NAND(I9, I10)
I9 = NAND(c, d)
I10 = NAND(a, I5)"
0001.0111.1000.0010,6018,11,"O = NAND(I1, I19)
I1 = NAND(I2, I3)
I2 = NAND(a, d)
I3 = NAND(I4, I11)
I4 = NAND(I5, d)
I5 = NAND(I6, I8)
I6 = NAND(c, I2)
I8 = NAND(b, I6)"
0001.0111.1000.0011,6019,11,"O = NAND(I1, I11)
I1 = NAND(I2, I7)
I2 = NAND(a, I3)
I3 = NAND(I4, I6)
I4 = NAND(d, I5)
I5 = NAND(a, b)
I6 = NAND(c)
I7 = NAND(I8, I9)
I8 = NAND(c, d)
I9 = NAND(a, I5)"
0001.0111.1000.0110,6022,11,"O = NAND(I1, I7)
I1 = NAND(I2, c)
I2 = NAND(I3, I5)
I3 = NAND(I4, d)
I4 = NAND(a, c)
I5 = NAND(b, I6)
I6 = NAND(d, b)
I7 = NAND(I4, I9)
I9 = NAND(I10, I6)
I10 = NAND(a, I11)"
0001.0111.1000.0111,6023,11,"O = NAND(I1, I10)
I1 = NAND(I2, I6)
I2 = NAND(a, I3)
I3 = NAND(I4, I5)
I4 = NAND(d)
I5 = NAND(c)
I6 = NAND(I7, I8)
I7 = NAND(c, d)
I8 = NAND(a, I9)
I9 = NAND(b)
I10 = NAND(b, I3)"
0001.0111.1000.1000,6024,10,"O = NAND(I1, I12)
I1 = NAND(I2, I6)
I2 = NAND(a, I3)
I3 = NAND(I4, I5)
I4 = NAND(d)
I5 = NAND(c)
I6 = NAND(I7, I8)
I7 = NAND(c, d)
I8 = NAND(b, I3)"
0001.0111.1000.1001,6025,10,"O = NAND(I1, I11)
I1 = NAND(I2, I5)
I2 = NAND(I3, c)
I3 = NAND(I4, d)
I4 = NAND(a, d)
I5 = NAND(I6, I7)
I6 = NAND(c, I7)
I7 = NAND(a, I4)"
0001.0111.1000.1010,6026,10,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(a, d)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(a, I6)
I6 = NAND(c, I2)
I8 = NAND(b, I9)
I9 = NAND(I10, I6)"
0001.0111.1000.1011,6027,10,"O = NAND(I1, I7)
I1 = NAND(I2, I3)
I2 = NAND(a, d)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(a, I6)
I6 = NAND(c)
I7 = NAND(b, I8)
I8 = NAND(I9, I6)
I9 = NAND(d, I2)"
0001.0111.1000.1110,6030,10,"O = NAND(I1, I8)
I1 = NAND(I2, I3)
I2 = NAND(a, d)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(a, I6)
I6 = NAND(c, I2)
I8 = NAND(b, I9)
I9 = NAND(I10, I6)"
0001.0111.1000.1111,6031,10,"O = NAND(I1, I7)
I1 = NAND(I2, I3)
I2 = NAND(a, c)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(a, I6)
I6 = NAND(d)
I7 = NAND(b, I8)
I8 = NAND(I6, I10)"
0001.0111.1001.0110,6038,11,"O = NAND(I1, I12)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(a, I6)
I6 = NAND(I7)
I7 = NAND(I8, I10)
I8 = NAND(d, I4)
I10 = NAND(c, I4)"
0001.0111.1001.0111,6039,11,"O = NAND(I1, I7)
I1 = NAND(c, I2)
I2 = NAND(I3, I5)
I3 = NAND(d, I4)
I4 = NAND(b, d)
I5 = NAND(b, I4)
I7 = NAND(I8, I12)
I8 = NAND(I4, I10)
I10 = NAND(a, I11)"
0001.0111.1001.1000,6040,11,"O = NAND(I1, I9)
I1 = NAND(I2, I3)
I2 = NAND(a, b)
I3 = NAND(I4, I5)
I4 = NAND(c, d)
I5 = NAND(b, I6)
I6 = NAND(I7, I8)
I7 = NAND(d)
I8 = NAND(c)
I9 = NAND(a, I10)
I10 = NAND(I6)"
0001.0111.1001.1001,6041,10,"O = NAND(I1, I2)
I1 = NAND(c, d)
I2 = NAND(I3, I10)
I3 = NAND(I4, I8)
I4 = NAND(b, I5)
I5 = NAND(I6, I7)
I6 = NAND(d)
I7 = NAND(c)
I8 = NAND(a, I6)"
0001.0111.1001.1010,6042,10,"O = NAND(I1, I11)
I1 = NAND(I2, I5)
I2 = NAND(I3, d)
I3 = NAND(I4, c)
I4 = NAND(a, b)
I5 = NAND(I6, I8)
I6 = NAND(d, I4)
I8 = NAND(a, I3)"
0001.0111.1001.1011,6043,9,"O = NAND(I1, I10)
I1 = NAND(I2, I4)
I2 = NAND(I3, d)
I3 = NAND(c)
I4 = NAND(I5, I7)
I5 = NAND(a, I3)
I7 = NAND(I5, d)"
0001.0111.1001.1110,6046,10,"O = NAND(I1, I7)
I1 = NAND(I2, d)
I2 = NAND(I3, I5)
I3 = NAND(I4, c)
I4 = NAND(b, c)
I5 = NAND(I4, b)
I7 = NAND(I8, I9)
I8 = NAND(a, d)
I9 = NAND(I4, I11)"
0001.0111.1001.1111,6047,9,"O = NAND(I1, I8)
I1 = NAND(I2, I6)
I2 = NAND(I3, I4)
I3 = NAND(c, d)
I4 = NAND(a, I5)
I5 = NAND(d)
I6 = NAND(c, I3)
I8 = NAND(b, I9)"
0001.0111.1010.1000,6056,10,"O = NAND(I1, I12)
I1 = NAND(I2, I6)
I2 = NAND(a, I3)
I3 = NAND(I4, I5)
I4 = NAND(d)
I5 = NAND(c, b)
I6 = NAND(I7, I8)
I7 = NAND(c, d)
I8 = NAND(b, I3)"
