K,n,δ,A,up
0.031,3.1,345.0,20.0,1.3
0.031,3.1,345.0,20.0,1.4
0.031,3.1,345.0,20.0,1.5
0.031,3.1,345.0,20.0,1.6
0.031,3.1,345.0,20.0,1.7
0.031,3.1,345.0,20.0,1.8
0.031,3.1,345.0,20.0,1.9
0.031,3.1,345.0,20.0,2.0
0.031,3.1,345.0,20.0,2.1
0.031,3.1,345.0,20.0,2.2
0.031,3.1,350.0,20.0,1.0
0.031,3.1,350.0,20.0,1.1
0.031,3.1,350.0,20.0,1.2
0.031,3.1,350.0,20.0,1.3
0.031,3.1,350.0,20.0,1.4
0.031,3.1,350.0,20.0,1.5
0.031,3.1,350.0,20.0,1.6
0.031,3.1,350.0,20.0,1.7
0.031,3.1,350.0,20.0,1.8
0.031,3.1,350.0,20.0,1.9
0.031,3.1,350.0,20.0,2.0
0.031,3.1,350.0,20.0,2.1
0.031,3.1,350.0,20.0,2.2
0.031,3.1,350.0,20.0,2.3
0.031,3.1,350.0,20.0,2.4
0.031,3.2,295.0,20.0,1.0
0.031,3.2,300.0,20.0,1.0
0.031,3.2,300.0,20.0,1.1
0.031,3.2,305.0,20.0,1.0
0.031,3.2,305.0,20.0,1.1
0.031,3.2,305.0,20.0,1.2
0.031,3.2,310.0,20.0,1.0
0.031,3.2,310.0,20.0,1.1
0.031,3.2,310.0,20.0,1.2
0.031,3.2,310.0,20.0,1.3
0.031,3.2,315.0,20.0,1.0
0.031,3.2,315.0,20.0,1.1
0.031,3.2,315.0,20.0,1.2
0.031,3.2,315.0,20.0,1.3
0.031,3.2,315.0,20.0,1.4
0.031,3.2,320.0,20.0,1.0
0.031,3.2,320.0,20.0,1.1
0.031,3.2,320.0,20.0,1.2
0.031,3.2,320.0,20.0,1.3
0.031,3.2,320.0,20.0,1.4
0.031,3.2,320.0,20.0,1.5
0.031,3.2,325.0,20.0,1.0
0.031,3.2,325.0,20.0,1.1
0.031,3.2,325.0,20.0,1.2
0.031,3.2,325.0,20.0,1.3
0.031,3.2,325.0,20.0,1.4
0.031,3.2,325.0,20.0,1.5
0.031,3.2,325.0,20.0,1.6
0.031,3.2,330.0,20.0,1.0
0.031,3.2,330.0,20.0,1.1
0.031,3.2,330.0,20.0,1.2
0.031,3.2,330.0,20.0,1.3
0.031,3.2,330.0,20.0,1.4
0.031,3.2,330.0,20.0,1.5
