Binary,Expresso_tts,Num_gates,Optimal_net,Permu_int,Num_in
00111000,"Or(And(~x[0], ~x[1], x[2]), And(x[1], ~x[2]))",5,"O = NOR(I1, I4),I1 = NOR(I2, I3),I2 = NOR(b),I3 = NOR(c, a),I4 = NOR(b, c)",173,3
00111001,"Or(And(~x[0], ~x[1], x[2]), And(x[0], x[1]), And(x[1], ~x[2]))",7,"O = NOR(I1, I5),I1 = NOR(I2, I8),I2 = NOR(I3, I5),I3 = NOR(I4, a),I4 = NOR(b),I5 = NOR(c, I3)",45,3
00111010,"Or(And(~x[0], x[2]), And(x[1], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(a, c),I4 = NOR(c, I3)",139,3
00111011,"Or(x[1], And(~x[0], x[2]))",4,"O = NOR(I1),I1 = NOR(I2, a),I2 = NOR(b, I3),I3 = NOR(c)",11,3
00111100,"Or(And(~x[1], x[2]), And(x[1], ~x[2]))",7,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(c, b),I4 = NOR(I5),I5 = NOR(I6, a),I6 = NOR(b, I3)",9,2
00111101,"Or(And(~x[1], x[2]), And(x[1], ~x[2]), And(x[0], x[2]))",7,"O = NOR(I1, I2),I1 = NOR(c, a),I2 = NOR(I3, I4),I3 = NOR(a),I4 = NOR(I5),I5 = NOR(I6, b),I6 = NOR(c)",25,3
00111110,"Or(And(~x[0], x[2]), And(x[1], ~x[2]), And(~x[1], x[2]))",8,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(b, a),I4 = NOR(I5),I5 = NOR(I6, I8),I6 = NOR(b, I3)",131,3
00111111,"Or(x[1], x[2])",4,"O = NOR(I1),I1 = NOR(a, I2),I2 = NOR(I3),I3 = NOR(b, c)",1,2
01000000,"And(x[0], ~x[1], ~x[2])",4,"O = NOR(I1, I2),I1 = NOR(b),I2 = NOR(I3),I3 = NOR(c, a)",239,3
01000001,"Or(And(x[0], x[1], x[2]), And(x[0], ~x[1], ~x[2]))",7,"O = NOR(I1, I3),I1 = NOR(I2, a),I2 = NOR(c, a),I3 = NOR(I4),I4 = NOR(I5, I6),I5 = NOR(b),I6 = NOR(c, I2)",111,3
