value,point
465.0,"[7.2, 0.16]"
465.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
470.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
475.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
480.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
485.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
490.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
495.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
500.0,"[7.2, 0.16]"
