K,n,δ,A,up
0.021,1.8,335.0,20.0,3.0
0.021,1.8,340.0,20.0,2.7
0.021,1.8,340.0,20.0,2.8
0.021,1.8,340.0,20.0,2.9
0.021,1.8,340.0,20.0,3.0
0.021,1.8,345.0,20.0,2.9
0.021,1.8,345.0,20.0,3.0
0.021,1.9,265.0,20.0,1.0
0.021,1.9,270.0,20.0,1.0
0.021,1.9,270.0,20.0,1.1
0.021,1.9,270.0,20.0,1.2
0.021,1.9,275.0,20.0,1.0
0.021,1.9,275.0,20.0,1.1
0.021,1.9,275.0,20.0,1.2
0.021,1.9,275.0,20.0,1.3
0.021,1.9,280.0,20.0,1.0
0.021,1.9,280.0,20.0,1.1
0.021,1.9,280.0,20.0,1.2
0.021,1.9,280.0,20.0,1.3
0.021,1.9,280.0,20.0,1.4
0.021,1.9,280.0,20.0,1.5
0.021,1.9,285.0,20.0,1.0
0.021,1.9,285.0,20.0,1.1
0.021,1.9,285.0,20.0,1.2
0.021,1.9,285.0,20.0,1.3
0.021,1.9,285.0,20.0,1.4
0.021,1.9,285.0,20.0,1.5
0.021,1.9,285.0,20.0,1.6
0.021,1.9,285.0,20.0,1.7
0.021,1.9,290.0,20.0,1.0
0.021,1.9,290.0,20.0,1.1
0.021,1.9,290.0,20.0,1.2
0.021,1.9,290.0,20.0,1.3
0.021,1.9,290.0,20.0,1.4
0.021,1.9,290.0,20.0,1.5
0.021,1.9,290.0,20.0,1.6
0.021,1.9,290.0,20.0,1.7
0.021,1.9,290.0,20.0,1.8
0.021,1.9,295.0,20.0,1.0
0.021,1.9,295.0,20.0,1.1
0.021,1.9,295.0,20.0,1.2
0.021,1.9,295.0,20.0,1.3
0.021,1.9,295.0,20.0,1.4
0.021,1.9,295.0,20.0,1.5
0.021,1.9,295.0,20.0,1.6
0.021,1.9,295.0,20.0,1.7
0.021,1.9,295.0,20.0,1.8
0.021,1.9,295.0,20.0,1.9
0.021,1.9,295.0,20.0,2.0
0.021,1.9,295.0,20.0,2.1
0.021,1.9,300.0,20.0,1.1
0.021,1.9,300.0,20.0,1.2
0.021,1.9,300.0,20.0,1.3
0.021,1.9,300.0,20.0,1.4
0.021,1.9,300.0,20.0,1.5
0.021,1.9,300.0,20.0,1.6
0.021,1.9,300.0,20.0,1.7
0.021,1.9,300.0,20.0,1.8
0.021,1.9,300.0,20.0,1.9
0.021,1.9,300.0,20.0,2.0
0.021,1.9,300.0,20.0,2.1
0.021,1.9,300.0,20.0,2.2
0.021,1.9,300.0,20.0,2.3
0.021,1.9,305.0,20.0,1.2
0.021,1.9,305.0,20.0,1.3
0.021,1.9,305.0,20.0,1.4
0.021,1.9,305.0,20.0,1.5
0.021,1.9,305.0,20.0,1.6
0.021,1.9,305.0,20.0,1.7
0.021,1.9,305.0,20.0,1.8
0.021,1.9,305.0,20.0,1.9
0.021,1.9,305.0,20.0,2.0
0.021,1.9,305.0,20.0,2.1
0.021,1.9,305.0,20.0,2.2
0.021,1.9,305.0,20.0,2.3
0.021,1.9,305.0,20.0,2.4
0.021,1.9,305.0,20.0,2.5
0.021,1.9,305.0,20.0,2.6
0.021,1.9,310.0,20.0,1.3
0.021,1.9,310.0,20.0,1.4
0.021,1.9,310.0,20.0,1.5
0.021,1.9,310.0,20.0,1.6
0.021,1.9,310.0,20.0,1.7
0.021,1.9,310.0,20.0,1.8
0.021,1.9,310.0,20.0,1.9
0.021,1.9,310.0,20.0,2.0
0.021,1.9,310.0,20.0,2.1
0.021,1.9,310.0,20.0,2.2
0.021,1.9,310.0,20.0,2.3
0.021,1.9,310.0,20.0,2.4
0.021,1.9,310.0,20.0,2.5
0.021,1.9,310.0,20.0,2.6
0.021,1.9,310.0,20.0,2.7
0.021,1.9,310.0,20.0,2.8
0.021,1.9,310.0,20.0,2.9
0.021,1.9,315.0,20.0,1.4
0.021,1.9,315.0,20.0,1.5
0.021,1.9,315.0,20.0,1.6
0.021,1.9,315.0,20.0,1.7
0.021,1.9,315.0,20.0,1.8
0.021,1.9,315.0,20.0,1.9
0.021,1.9,315.0,20.0,2.0
0.021,1.9,315.0,20.0,2.1
0.021,1.9,315.0,20.0,2.2
0.021,1.9,315.0,20.0,2.3
0.021,1.9,315.0,20.0,2.4
0.021,1.9,315.0,20.0,2.5
0.021,1.9,315.0,20.0,2.6
0.021,1.9,315.0,20.0,2.7
0.021,1.9,315.0,20.0,2.8
0.021,1.9,315.0,20.0,2.9
0.021,1.9,315.0,20.0,3.0
0.021,1.9,320.0,20.0,1.5
0.021,1.9,320.0,20.0,1.6
0.021,1.9,320.0,20.0,1.7
0.021,1.9,320.0,20.0,1.8
0.021,1.9,320.0,20.0,1.9
0.021,1.9,320.0,20.0,2.0
0.021,1.9,320.0,20.0,2.1
0.021,1.9,320.0,20.0,2.2
0.021,1.9,320.0,20.0,2.3
0.021,1.9,320.0,20.0,2.4
0.021,1.9,320.0,20.0,2.5
0.021,1.9,320.0,20.0,2.6
0.021,1.9,320.0,20.0,2.7
0.021,1.9,320.0,20.0,2.8
0.021,1.9,320.0,20.0,2.9
0.021,1.9,320.0,20.0,3.0
0.021,1.9,325.0,20.0,1.7
0.021,1.9,325.0,20.0,1.8
0.021,1.9,325.0,20.0,1.9
0.021,1.9,325.0,20.0,2.0
0.021,1.9,325.0,20.0,2.1
0.021,1.9,325.0,20.0,2.2
0.021,1.9,325.0,20.0,2.3
0.021,1.9,325.0,20.0,2.4
0.021,1.9,325.0,20.0,2.5
0.021,1.9,325.0,20.0,2.6
0.021,1.9,325.0,20.0,2.7
0.021,1.9,325.0,20.0,2.8
0.021,1.9,325.0,20.0,2.9
0.021,1.9,325.0,20.0,3.0
0.021,1.9,330.0,20.0,1.8
0.021,1.9,330.0,20.0,1.9
0.021,1.9,330.0,20.0,2.0
0.021,1.9,330.0,20.0,2.1
0.021,1.9,330.0,20.0,2.2
0.021,1.9,330.0,20.0,2.3
0.021,1.9,330.0,20.0,2.4
0.021,1.9,330.0,20.0,2.5
0.021,1.9,330.0,20.0,2.6
0.021,1.9,330.0,20.0,2.7
