K,n,δ,A,up
0.031,9.1,350.0,20.0,1.0
0.031,9.2,350.0,20.0,1.0
0.031,9.3,350.0,20.0,1.0
0.051,9.1,300.0,20.0,1.0
0.051,9.1,305.0,20.0,1.0
0.051,9.1,310.0,20.0,1.0
0.051,9.1,310.0,20.0,1.1
0.051,9.1,315.0,20.0,1.0
0.051,9.1,315.0,20.0,1.1
0.051,9.1,320.0,20.0,1.0
0.051,9.1,320.0,20.0,1.1
0.051,9.1,320.0,20.0,1.2
0.051,9.1,325.0,20.0,1.0
0.051,9.1,325.0,20.0,1.1
0.051,9.1,325.0,20.0,1.2
0.051,9.1,325.0,20.0,1.3
0.051,9.1,330.0,20.0,1.0
0.051,9.1,330.0,20.0,1.1
0.051,9.1,330.0,20.0,1.2
0.051,9.1,330.0,20.0,1.3
0.051,9.1,335.0,20.0,1.0
0.051,9.1,335.0,20.0,1.1
0.051,9.1,335.0,20.0,1.2
0.051,9.1,335.0,20.0,1.3
0.051,9.1,335.0,20.0,1.4
0.051,9.1,340.0,20.0,1.0
0.051,9.1,340.0,20.0,1.1
0.051,9.1,340.0,20.0,1.2
0.051,9.1,340.0,20.0,1.3
0.051,9.1,340.0,20.0,1.4
0.051,9.1,340.0,20.0,1.5
0.051,9.1,345.0,20.0,1.0
0.051,9.1,345.0,20.0,1.1
0.051,9.1,345.0,20.0,1.2
0.051,9.1,345.0,20.0,1.3
0.051,9.1,345.0,20.0,1.4
0.051,9.1,345.0,20.0,1.5
0.051,9.1,345.0,20.0,1.6
0.051,9.1,350.0,20.0,1.0
0.051,9.1,350.0,20.0,1.1
0.051,9.1,350.0,20.0,1.2
0.051,9.1,350.0,20.0,1.3
0.051,9.1,350.0,20.0,1.4
0.051,9.1,350.0,20.0,1.5
0.051,9.1,350.0,20.0,1.6
0.051,9.1,350.0,20.0,1.7
0.051,9.2,300.0,20.0,1.0
0.051,9.2,305.0,20.0,1.0
0.051,9.2,310.0,20.0,1.0
0.051,9.2,310.0,20.0,1.1
0.051,9.2,315.0,20.0,1.0
0.051,9.2,315.0,20.0,1.1
0.051,9.2,320.0,20.0,1.0
0.051,9.2,320.0,20.0,1.1
0.051,9.2,320.0,20.0,1.2
0.051,9.2,325.0,20.0,1.0
0.051,9.2,325.0,20.0,1.1
0.051,9.2,325.0,20.0,1.2
0.051,9.2,325.0,20.0,1.3
0.051,9.2,330.0,20.0,1.0
0.051,9.2,330.0,20.0,1.1
0.051,9.2,330.0,20.0,1.2
0.051,9.2,330.0,20.0,1.3
0.051,9.2,335.0,20.0,1.0
0.051,9.2,335.0,20.0,1.1
0.051,9.2,335.0,20.0,1.2
0.051,9.2,335.0,20.0,1.3
0.051,9.2,335.0,20.0,1.4
0.051,9.2,340.0,20.0,1.0
0.051,9.2,340.0,20.0,1.1
0.051,9.2,340.0,20.0,1.2
0.051,9.2,340.0,20.0,1.3
0.051,9.2,340.0,20.0,1.4
0.051,9.2,340.0,20.0,1.5
0.051,9.2,345.0,20.0,1.0
0.051,9.2,345.0,20.0,1.1
0.051,9.2,345.0,20.0,1.2
0.051,9.2,345.0,20.0,1.3
0.051,9.2,345.0,20.0,1.4
0.051,9.2,345.0,20.0,1.5
0.051,9.2,345.0,20.0,1.6
0.051,9.2,350.0,20.0,1.0
0.051,9.2,350.0,20.0,1.1
0.051,9.2,350.0,20.0,1.2
0.051,9.2,350.0,20.0,1.3
0.051,9.2,350.0,20.0,1.4
0.051,9.2,350.0,20.0,1.5
0.051,9.2,350.0,20.0,1.6
0.051,9.3,300.0,20.0,1.0
0.051,9.3,305.0,20.0,1.0
0.051,9.3,310.0,20.0,1.0
0.051,9.3,310.0,20.0,1.1
0.051,9.3,315.0,20.0,1.0
0.051,9.3,315.0,20.0,1.1
0.051,9.3,320.0,20.0,1.0
0.051,9.3,320.0,20.0,1.1
0.051,9.3,320.0,20.0,1.2
0.051,9.3,325.0,20.0,1.0
0.051,9.3,325.0,20.0,1.1
0.051,9.3,325.0,20.0,1.2
0.051,9.3,325.0,20.0,1.3
0.051,9.3,330.0,20.0,1.0
0.051,9.3,330.0,20.0,1.1
0.051,9.3,330.0,20.0,1.2
0.051,9.3,330.0,20.0,1.3
0.051,9.3,335.0,20.0,1.0
0.051,9.3,335.0,20.0,1.1
0.051,9.3,335.0,20.0,1.2
0.051,9.3,335.0,20.0,1.3
0.051,9.3,335.0,20.0,1.4
0.051,9.3,340.0,20.0,1.0
0.051,9.3,340.0,20.0,1.1
0.051,9.3,340.0,20.0,1.2
0.051,9.3,340.0,20.0,1.3
0.051,9.3,340.0,20.0,1.4
0.051,9.3,340.0,20.0,1.5
0.051,9.3,345.0,20.0,1.0
0.051,9.3,345.0,20.0,1.1
0.051,9.3,345.0,20.0,1.2
0.051,9.3,345.0,20.0,1.3
0.051,9.3,345.0,20.0,1.4
0.051,9.3,345.0,20.0,1.5
0.051,9.3,345.0,20.0,1.6
0.051,9.3,350.0,20.0,1.0
0.051,9.3,350.0,20.0,1.1
0.051,9.3,350.0,20.0,1.2
0.051,9.3,350.0,20.0,1.3
0.051,9.3,350.0,20.0,1.4
0.051,9.3,350.0,20.0,1.5
0.051,9.3,350.0,20.0,1.6
0.051,9.4,300.0,20.0,1.0
0.051,9.4,305.0,20.0,1.0
0.051,9.4,310.0,20.0,1.0
0.051,9.4,310.0,20.0,1.1
0.051,9.4,315.0,20.0,1.0
0.051,9.4,315.0,20.0,1.1
0.051,9.4,320.0,20.0,1.0
