K,n,δ,A,up
0.031,7.1,340.0,20.0,1.0
0.031,7.1,345.0,20.0,1.0
0.031,7.1,350.0,20.0,1.0
0.031,7.1,350.0,20.0,1.1
0.031,7.2,340.0,20.0,1.0
0.031,7.2,345.0,20.0,1.0
0.031,7.2,350.0,20.0,1.0
0.031,7.2,350.0,20.0,1.1
0.031,7.3,345.0,20.0,1.0
0.031,7.3,350.0,20.0,1.0
0.031,7.3,350.0,20.0,1.1
0.031,7.4,345.0,20.0,1.0
0.031,7.4,350.0,20.0,1.0
0.031,7.4,350.0,20.0,1.1
0.031,7.5,345.0,20.0,1.0
0.031,7.5,350.0,20.0,1.0
0.031,7.6,345.0,20.0,1.0
0.031,7.6,350.0,20.0,1.0
0.031,7.7,345.0,20.0,1.0
0.031,7.7,350.0,20.0,1.0
0.031,7.8,345.0,20.0,1.0
0.031,7.8,350.0,20.0,1.0
0.031,7.9,345.0,20.0,1.0
0.031,7.9,350.0,20.0,1.0
0.031,8.0,345.0,20.0,1.0
0.031,8.0,350.0,20.0,1.0
0.051,7.1,295.0,20.0,1.0
0.051,7.1,300.0,20.0,1.0
0.051,7.1,300.0,20.0,1.1
0.051,7.1,305.0,20.0,1.0
0.051,7.1,305.0,20.0,1.1
0.051,7.1,310.0,20.0,1.0
0.051,7.1,310.0,20.0,1.1
0.051,7.1,310.0,20.0,1.2
0.051,7.1,315.0,20.0,1.0
0.051,7.1,315.0,20.0,1.1
0.051,7.1,315.0,20.0,1.2
0.051,7.1,320.0,20.0,1.0
0.051,7.1,320.0,20.0,1.1
0.051,7.1,320.0,20.0,1.2
0.051,7.1,320.0,20.0,1.3
0.051,7.1,325.0,20.0,1.0
0.051,7.1,325.0,20.0,1.1
0.051,7.1,325.0,20.0,1.2
0.051,7.1,325.0,20.0,1.3
0.051,7.1,325.0,20.0,1.4
0.051,7.1,330.0,20.0,1.0
0.051,7.1,330.0,20.0,1.1
0.051,7.1,330.0,20.0,1.2
0.051,7.1,330.0,20.0,1.3
0.051,7.1,330.0,20.0,1.4
0.051,7.1,330.0,20.0,1.5
0.051,7.1,335.0,20.0,1.0
0.051,7.1,335.0,20.0,1.1
0.051,7.1,335.0,20.0,1.2
0.051,7.1,335.0,20.0,1.3
0.051,7.1,335.0,20.0,1.4
0.051,7.1,335.0,20.0,1.5
0.051,7.1,335.0,20.0,1.6
0.051,7.1,340.0,20.0,1.0
0.051,7.1,340.0,20.0,1.1
0.051,7.1,340.0,20.0,1.2
0.051,7.1,340.0,20.0,1.3
0.051,7.1,340.0,20.0,1.4
