K,n,δ,A,up
0.031,8.1,345.0,20.0,1.0
0.031,8.1,350.0,20.0,1.0
0.031,8.2,345.0,20.0,1.0
0.031,8.2,350.0,20.0,1.0
0.031,8.3,350.0,20.0,1.0
0.031,8.4,350.0,20.0,1.0
0.031,8.5,350.0,20.0,1.0
0.031,8.6,350.0,20.0,1.0
0.031,8.7,350.0,20.0,1.0
0.031,8.8,350.0,20.0,1.0
0.031,8.9,350.0,20.0,1.0
0.031,9.0,350.0,20.0,1.0
0.051,8.1,295.0,20.0,1.0
0.051,8.1,300.0,20.0,1.0
0.051,8.1,305.0,20.0,1.0
0.051,8.1,305.0,20.0,1.1
0.051,8.1,310.0,20.0,1.0
0.051,8.1,310.0,20.0,1.1
0.051,8.1,315.0,20.0,1.0
0.051,8.1,315.0,20.0,1.1
0.051,8.1,315.0,20.0,1.2
0.051,8.1,320.0,20.0,1.0
0.051,8.1,320.0,20.0,1.1
0.051,8.1,320.0,20.0,1.2
0.051,8.1,320.0,20.0,1.3
0.051,8.1,325.0,20.0,1.0
0.051,8.1,325.0,20.0,1.1
0.051,8.1,325.0,20.0,1.2
0.051,8.1,325.0,20.0,1.3
0.051,8.1,330.0,20.0,1.0
0.051,8.1,330.0,20.0,1.1
0.051,8.1,330.0,20.0,1.2
0.051,8.1,330.0,20.0,1.3
0.051,8.1,330.0,20.0,1.4
0.051,8.1,335.0,20.0,1.0
0.051,8.1,335.0,20.0,1.1
0.051,8.1,335.0,20.0,1.2
0.051,8.1,335.0,20.0,1.3
0.051,8.1,335.0,20.0,1.4
0.051,8.1,335.0,20.0,1.5
0.051,8.1,340.0,20.0,1.0
0.051,8.1,340.0,20.0,1.1
0.051,8.1,340.0,20.0,1.2
0.051,8.1,340.0,20.0,1.3
0.051,8.1,340.0,20.0,1.4
0.051,8.1,340.0,20.0,1.5
0.051,8.1,340.0,20.0,1.6
0.051,8.1,345.0,20.0,1.0
0.051,8.1,345.0,20.0,1.1
0.051,8.1,345.0,20.0,1.2
0.051,8.1,345.0,20.0,1.3
0.051,8.1,345.0,20.0,1.4
0.051,8.1,345.0,20.0,1.5
0.051,8.1,345.0,20.0,1.6
0.051,8.1,350.0,20.0,1.0
0.051,8.1,350.0,20.0,1.1
0.051,8.1,350.0,20.0,1.2
0.051,8.1,350.0,20.0,1.3
0.051,8.1,350.0,20.0,1.4
0.051,8.1,350.0,20.0,1.5
0.051,8.1,350.0,20.0,1.6
