K,n,δ,A,up
0.051,6.2,330.0,20.0,1.4
0.051,6.2,330.0,20.0,1.5
0.051,6.2,330.0,20.0,1.6
0.051,6.2,335.0,20.0,1.0
0.051,6.2,335.0,20.0,1.1
0.051,6.2,335.0,20.0,1.2
0.051,6.2,335.0,20.0,1.3
0.051,6.2,335.0,20.0,1.4
0.051,6.2,335.0,20.0,1.5
0.051,6.2,335.0,20.0,1.6
0.051,6.2,335.0,20.0,1.7
0.051,6.2,340.0,20.0,1.0
0.051,6.2,340.0,20.0,1.1
0.051,6.2,340.0,20.0,1.2
0.051,6.2,340.0,20.0,1.3
0.051,6.2,340.0,20.0,1.4
0.051,6.2,340.0,20.0,1.5
0.051,6.2,340.0,20.0,1.6
0.051,6.2,340.0,20.0,1.7
0.051,6.2,340.0,20.0,1.8
0.051,6.2,345.0,20.0,1.0
0.051,6.2,345.0,20.0,1.1
0.051,6.2,345.0,20.0,1.2
0.051,6.2,345.0,20.0,1.3
0.051,6.2,345.0,20.0,1.4
0.051,6.2,345.0,20.0,1.5
0.051,6.2,345.0,20.0,1.6
0.051,6.2,345.0,20.0,1.7
0.051,6.2,345.0,20.0,1.8
0.051,6.2,345.0,20.0,1.9
0.051,6.2,350.0,20.0,1.0
0.051,6.2,350.0,20.0,1.1
0.051,6.2,350.0,20.0,1.2
0.051,6.2,350.0,20.0,1.3
0.051,6.2,350.0,20.0,1.4
0.051,6.2,350.0,20.0,1.5
0.051,6.2,350.0,20.0,1.6
0.051,6.2,350.0,20.0,1.7
0.051,6.2,350.0,20.0,1.8
0.051,6.2,350.0,20.0,1.9
0.051,6.2,350.0,20.0,2.0
0.051,6.3,290.0,20.0,1.0
0.051,6.3,295.0,20.0,1.0
0.051,6.3,300.0,20.0,1.0
0.051,6.3,300.0,20.0,1.1
0.051,6.3,305.0,20.0,1.0
0.051,6.3,305.0,20.0,1.1
0.051,6.3,305.0,20.0,1.2
0.051,6.3,310.0,20.0,1.0
0.051,6.3,310.0,20.0,1.1
0.051,6.3,310.0,20.0,1.2
0.051,6.3,315.0,20.0,1.0
0.051,6.3,315.0,20.0,1.1
0.051,6.3,315.0,20.0,1.2
0.051,6.3,315.0,20.0,1.3
0.051,6.3,320.0,20.0,1.0
0.051,6.3,320.0,20.0,1.1
0.051,6.3,320.0,20.0,1.2
0.051,6.3,320.0,20.0,1.3
0.051,6.3,320.0,20.0,1.4
0.051,6.3,325.0,20.0,1.0
0.051,6.3,325.0,20.0,1.1
0.051,6.3,325.0,20.0,1.2
0.051,6.3,325.0,20.0,1.3
0.051,6.3,325.0,20.0,1.4
0.051,6.3,325.0,20.0,1.5
0.051,6.3,330.0,20.0,1.0
0.051,6.3,330.0,20.0,1.1
0.051,6.3,330.0,20.0,1.2
0.051,6.3,330.0,20.0,1.3
0.051,6.3,330.0,20.0,1.4
0.051,6.3,330.0,20.0,1.5
0.051,6.3,330.0,20.0,1.6
0.051,6.3,335.0,20.0,1.0
0.051,6.3,335.0,20.0,1.1
0.051,6.3,335.0,20.0,1.2
0.051,6.3,335.0,20.0,1.3
0.051,6.3,335.0,20.0,1.4
0.051,6.3,335.0,20.0,1.5
0.051,6.3,335.0,20.0,1.6
0.051,6.3,335.0,20.0,1.7
0.051,6.3,340.0,20.0,1.0
0.051,6.3,340.0,20.0,1.1
0.051,6.3,340.0,20.0,1.2
0.051,6.3,340.0,20.0,1.3
0.051,6.3,340.0,20.0,1.4
0.051,6.3,340.0,20.0,1.5
0.051,6.3,340.0,20.0,1.6
0.051,6.3,340.0,20.0,1.7
0.051,6.3,340.0,20.0,1.8
0.051,6.3,345.0,20.0,1.0
0.051,6.3,345.0,20.0,1.1
0.051,6.3,345.0,20.0,1.2
0.051,6.3,345.0,20.0,1.3
0.051,6.3,345.0,20.0,1.4
0.051,6.3,345.0,20.0,1.5
0.051,6.3,345.0,20.0,1.6
0.051,6.3,345.0,20.0,1.7
0.051,6.3,345.0,20.0,1.8
0.051,6.3,345.0,20.0,1.9
0.051,6.3,350.0,20.0,1.0
0.051,6.3,350.0,20.0,1.1
0.051,6.3,350.0,20.0,1.2
0.051,6.3,350.0,20.0,1.3
0.051,6.3,350.0,20.0,1.4
0.051,6.3,350.0,20.0,1.5
0.051,6.3,350.0,20.0,1.6
0.051,6.3,350.0,20.0,1.7
0.051,6.3,350.0,20.0,1.8
0.051,6.3,350.0,20.0,1.9
0.051,6.3,350.0,20.0,2.0
0.051,6.4,290.0,20.0,1.0
0.051,6.4,295.0,20.0,1.0
0.051,6.4,300.0,20.0,1.0
0.051,6.4,300.0,20.0,1.1
0.051,6.4,305.0,20.0,1.0
0.051,6.4,305.0,20.0,1.1
0.051,6.4,305.0,20.0,1.2
0.051,6.4,310.0,20.0,1.0
0.051,6.4,310.0,20.0,1.1
0.051,6.4,310.0,20.0,1.2
0.051,6.4,315.0,20.0,1.0
0.051,6.4,315.0,20.0,1.1
0.051,6.4,315.0,20.0,1.2
0.051,6.4,315.0,20.0,1.3
0.051,6.4,320.0,20.0,1.0
0.051,6.4,320.0,20.0,1.1
0.051,6.4,320.0,20.0,1.2
0.051,6.4,320.0,20.0,1.3
0.051,6.4,320.0,20.0,1.4
0.051,6.4,325.0,20.0,1.0
0.051,6.4,325.0,20.0,1.1
0.051,6.4,325.0,20.0,1.2
0.051,6.4,325.0,20.0,1.3
0.051,6.4,325.0,20.0,1.4
0.051,6.4,325.0,20.0,1.5
0.051,6.4,330.0,20.0,1.0
0.051,6.4,330.0,20.0,1.1
0.051,6.4,330.0,20.0,1.2
0.051,6.4,330.0,20.0,1.3
0.051,6.4,330.0,20.0,1.4
0.051,6.4,330.0,20.0,1.5
0.051,6.4,330.0,20.0,1.6
0.051,6.4,335.0,20.0,1.0
0.051,6.4,335.0,20.0,1.1
0.051,6.4,335.0,20.0,1.2
0.051,6.4,335.0,20.0,1.3
0.051,6.4,335.0,20.0,1.4
0.051,6.4,335.0,20.0,1.5
0.051,6.4,335.0,20.0,1.6
0.051,6.4,340.0,20.0,1.0
0.051,6.4,340.0,20.0,1.1
0.051,6.4,340.0,20.0,1.2
0.051,6.4,340.0,20.0,1.3
0.051,6.4,340.0,20.0,1.4
0.051,6.4,340.0,20.0,1.5
0.051,6.4,340.0,20.0,1.6
0.051,6.4,340.0,20.0,1.7
0.051,6.4,345.0,20.0,1.0
0.051,6.4,345.0,20.0,1.1
0.051,6.4,345.0,20.0,1.2
0.051,6.4,345.0,20.0,1.3
0.051,6.4,345.0,20.0,1.4
0.051,6.4,345.0,20.0,1.5
0.051,6.4,345.0,20.0,1.6
0.051,6.4,345.0,20.0,1.7
0.051,6.4,345.0,20.0,1.8
0.051,6.4,350.0,20.0,1.0
0.051,6.4,350.0,20.0,1.1
0.051,6.4,350.0,20.0,1.2
0.051,6.4,350.0,20.0,1.3
0.051,6.4,350.0,20.0,1.4
0.051,6.4,350.0,20.0,1.5
0.051,6.4,350.0,20.0,1.6
0.051,6.4,350.0,20.0,1.7
0.051,6.4,350.0,20.0,1.8
0.051,6.4,350.0,20.0,1.9
0.051,6.5,290.0,20.0,1.0
0.051,6.5,295.0,20.0,1.0
0.051,6.5,300.0,20.0,1.0
0.051,6.5,300.0,20.0,1.1
0.051,6.5,305.0,20.0,1.0
0.051,6.5,305.0,20.0,1.1
0.051,6.5,305.0,20.0,1.2
0.051,6.5,310.0,20.0,1.0
0.051,6.5,310.0,20.0,1.1
0.051,6.5,310.0,20.0,1.2
0.051,6.5,315.0,20.0,1.0
0.051,6.5,315.0,20.0,1.1
0.051,6.5,315.0,20.0,1.2
0.051,6.5,315.0,20.0,1.3
0.051,6.5,320.0,20.0,1.0
0.051,6.5,320.0,20.0,1.1
0.051,6.5,320.0,20.0,1.2
0.051,6.5,320.0,20.0,1.3
0.051,6.5,320.0,20.0,1.4
0.051,6.5,325.0,20.0,1.0
0.051,6.5,325.0,20.0,1.1
0.051,6.5,325.0,20.0,1.2
0.051,6.5,325.0,20.0,1.3
0.051,6.5,325.0,20.0,1.4
0.051,6.5,325.0,20.0,1.5
0.051,6.5,330.0,20.0,1.0
0.051,6.5,330.0,20.0,1.1
0.051,6.5,330.0,20.0,1.2
0.051,6.5,330.0,20.0,1.3
0.051,6.5,330.0,20.0,1.4
0.051,6.5,330.0,20.0,1.5
0.051,6.5,335.0,20.0,1.0
0.051,6.5,335.0,20.0,1.1
0.051,6.5,335.0,20.0,1.2
0.051,6.5,335.0,20.0,1.3
0.051,6.5,335.0,20.0,1.4
0.051,6.5,335.0,20.0,1.5
0.051,6.5,335.0,20.0,1.6
0.051,6.5,340.0,20.0,1.0
0.051,6.5,340.0,20.0,1.1
0.051,6.5,340.0,20.0,1.2
0.051,6.5,340.0,20.0,1.3
0.051,6.5,340.0,20.0,1.4
0.051,6.5,340.0,20.0,1.5
0.051,6.5,340.0,20.0,1.6
0.051,6.5,340.0,20.0,1.7
0.051,6.5,345.0,20.0,1.0
0.051,6.5,345.0,20.0,1.1
0.051,6.5,345.0,20.0,1.2
0.051,6.5,345.0,20.0,1.3
0.051,6.5,345.0,20.0,1.4
0.051,6.5,345.0,20.0,1.5
0.051,6.5,345.0,20.0,1.6
0.051,6.5,345.0,20.0,1.7
0.051,6.5,345.0,20.0,1.8
0.051,6.5,350.0,20.0,1.0
0.051,6.5,350.0,20.0,1.1
0.051,6.5,350.0,20.0,1.2
0.051,6.5,350.0,20.0,1.3
0.051,6.5,350.0,20.0,1.4
0.051,6.5,350.0,20.0,1.5
0.051,6.5,350.0,20.0,1.6
0.051,6.5,350.0,20.0,1.7
0.051,6.5,350.0,20.0,1.8
0.051,6.5,350.0,20.0,1.9
0.051,6.6,290.0,20.0,1.0
0.051,6.6,295.0,20.0,1.0
0.051,6.6,300.0,20.0,1.0
0.051,6.6,300.0,20.0,1.1
0.051,6.6,305.0,20.0,1.0
0.051,6.6,305.0,20.0,1.1
0.051,6.6,305.0,20.0,1.2
0.051,6.6,310.0,20.0,1.0
0.051,6.6,310.0,20.0,1.1
0.051,6.6,310.0,20.0,1.2
0.051,6.6,315.0,20.0,1.0
0.051,6.6,315.0,20.0,1.1
0.051,6.6,315.0,20.0,1.2
0.051,6.6,315.0,20.0,1.3
0.051,6.6,320.0,20.0,1.0
0.051,6.6,320.0,20.0,1.1
0.051,6.6,320.0,20.0,1.2
0.051,6.6,320.0,20.0,1.3
0.051,6.6,320.0,20.0,1.4
0.051,6.6,325.0,20.0,1.0
0.051,6.6,325.0,20.0,1.1
0.051,6.6,325.0,20.0,1.2
0.051,6.6,325.0,20.0,1.3
0.051,6.6,325.0,20.0,1.4
0.051,6.6,330.0,20.0,1.0
0.051,6.6,330.0,20.0,1.1
0.051,6.6,330.0,20.0,1.2
0.051,6.6,330.0,20.0,1.3
0.051,6.6,330.0,20.0,1.4
0.051,6.6,330.0,20.0,1.5
0.051,6.6,335.0,20.0,1.0
