Binary,Integer,Number of Gates,Optimal Network
10.00.00.01,129,8,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(b)
I4 = NAND(I5, I8)
I5 = NAND(I3, I7)
I7 = NAND(a)"
10.00.00.10,130,8,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c)
I3 = NAND(I4)
I4 = NAND(I5, I7)
I5 = NAND(b, I6)
I6 = NAND(b, a)
I7 = NAND(a, I6)"
10.00.00.11,131,8,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(b, a)
I4 = NAND(I5)
I5 = NAND(I6, I8)
I6 = NAND(b, I3)"
10.00.01.10,134,9,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(c, a)
I4 = NAND(I5, I11)
I5 = NAND(I6, I7)
I6 = NAND(b, I7)
I7 = NAND(a, I3)"
10.00.01.11,135,8,"O = NAND(I1, I6)
I1 = NAND(I2, I10)
I2 = NAND(I3, I6)
I3 = NAND(I4, I5)
I4 = NAND(c)
I5 = NAND(b)
I6 = NAND(a, I3)"
10.00.10.01,137,6,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(b, a)
I4 = NAND(b, I5)
I5 = NAND(c)"
10.00.10.10,138,5,"O = NAND(I1)
I1 = NAND(I2, I3)
I2 = NAND(c)
I3 = NAND(b, I4)
I4 = NAND(a)"
10.00.10.11,139,5,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(a, b)
I4 = NAND(b, I3)"
10.00.11.10,142,6,"O = NAND(I1)
I1 = NAND(I2, I5)
I2 = NAND(c, I3)
I3 = NAND(a, I4)
I4 = NAND(a, b)
I5 = NAND(b, I4)"
10.00.11.11,143,5,"O = NAND(I1)
I1 = NAND(I2, I4)
I2 = NAND(c, I3)
I3 = NAND(a)
I4 = NAND(b, I3)"
10.01.01.10,150,9,"O = NAND(I1, I11)
I1 = NAND(I2, I5)
I2 = NAND(c, I3)
I3 = NAND(b, I4)
I4 = NAND(b, a)
I5 = NAND(I6, I11)
I6 = NAND(I3, I9)"
